country,nuts_3,cases,cases/100k pop.,datetime
NO,nordland,614,254.5,2020-12-19T00:00:00
NO,møre og romsdal,760,286.5,2020-12-19T00:00:00
NO,troms og finnmark,922,378.9,2020-12-19T00:00:00
NO,agder,1138,370.4,2020-12-19T00:00:00
NO,trøndelag,1535,327.5,2020-12-19T00:00:00
NO,vestfold og telemark,1674,399.1,2020-12-19T00:00:00
NO,rogaland,1711,356.5,2020-12-19T00:00:00
NO,innlandet,2323,625.5,2020-12-19T00:00:00
NO,vestland,5369,843.5,2020-12-19T00:00:00
NO,oslo,12499,1802.3,2020-12-19T00:00:00
NO,viken,13782,1110.4,2020-12-19T00:00:00
