country,nuts_3,cases,cases/100k pop.,datetime
NO,nordland,1861,774.3,2021-07-30T00:00:00
NO,møre og romsdal,2376,894.8,2021-07-30T00:00:00
NO,troms og finnmark,2651,1094.7,2021-07-30T00:00:00
NO,agder,5457,1766.9,2021-07-30T00:00:00
NO,trøndelag,5630,1195,2021-07-30T00:00:00
NO,innlandet,6028,1626.5,2021-07-30T00:00:00
NO,rogaland,8022,1662.1,2021-07-30T00:00:00
NO,vestfold og telemark,9054,2146.1,2021-07-30T00:00:00
NO,vestland,10645,1666.4,2021-07-30T00:00:00
NO,oslo,37942,5443.5,2021-07-30T00:00:00
NO,viken,44878,3583.4,2021-07-30T00:00:00
