country,nuts_3,cases,cases/100k pop.,datetime
NO,nordland,8832,3674.7,2022-01-13T00:00:00
NO,møre og romsdal,10520,3961.7,2022-01-13T00:00:00
NO,troms og finnmark,14281,5897.1,2022-01-13T00:00:00
NO,innlandet,18721,5051.5,2022-01-13T00:00:00
NO,agder,22136,7167.4,2022-01-13T00:00:00
NO,trøndelag,25969,5512.1,2022-01-13T00:00:00
NO,vestfold og telemark,28755,6815.9,2022-01-13T00:00:00
NO,rogaland,30370,6292.4,2022-01-13T00:00:00
NO,vestland,37901,5933,2022-01-13T00:00:00
NO,oslo,114104,16370.5,2022-01-13T00:00:00
NO,viken,139375,11128.8,2022-01-13T00:00:00
