country,nuts_3,cases,cases/100k pop.,datetime
NO,nordland,39310,16355.7,2022-04-28T00:00:00
NO,troms og finnmark,47762,19722.7,2022-04-28T00:00:00
NO,møre og romsdal,53220,20041.9,2022-04-28T00:00:00
NO,innlandet,78273,21120.4,2022-04-28T00:00:00
NO,agder,79420,25715.3,2022-04-28T00:00:00
NO,trøndelag,99640,21149.4,2022-04-28T00:00:00
NO,vestfold og telemark,101894,24152.3,2022-04-28T00:00:00
NO,rogaland,121291,25130.5,2022-04-28T00:00:00
NO,vestland,143267,22426.8,2022-04-28T00:00:00
NO,oslo,257056,36879.8,2022-04-28T00:00:00
NO,viken,383058,30586.3,2022-04-28T00:00:00
