country,nuts_3,cases,cases/100k pop.,datetime
NO,nordland,7683,3196.7,2022-01-05T00:00:00
NO,møre og romsdal,9239,3479.3,2022-01-05T00:00:00
NO,troms og finnmark,12955,5349.6,2022-01-05T00:00:00
NO,innlandet,16032,4325.9,2022-01-05T00:00:00
NO,agder,18688,6051,2022-01-05T00:00:00
NO,trøndelag,22525,4781.1,2022-01-05T00:00:00
NO,vestfold og telemark,24918,5906.4,2022-01-05T00:00:00
NO,rogaland,25879,5361.9,2022-01-05T00:00:00
NO,vestland,34298,5369,2022-01-05T00:00:00
NO,oslo,100268,14385.4,2022-01-05T00:00:00
NO,viken,124159,9913.8,2022-01-05T00:00:00
