country,nuts_3,cases,cases/100k pop.,datetime
NO,nordland,31994,13311.7,2022-03-01T00:00:00
NO,troms og finnmark,39816,16441.5,2022-03-01T00:00:00
NO,møre og romsdal,41185,15509.7,2022-03-01T00:00:00
NO,innlandet,68306,18431,2022-03-01T00:00:00
NO,agder,68616,22217.1,2022-03-01T00:00:00
NO,vestfold og telemark,83600,19816,2022-03-01T00:00:00
NO,trøndelag,89767,19053.8,2022-03-01T00:00:00
NO,rogaland,104486,21648.6,2022-03-01T00:00:00
NO,vestland,122522,19179.4,2022-03-01T00:00:00
NO,oslo,228551,32790.2,2022-03-01T00:00:00
NO,viken,344762,27528.5,2022-03-01T00:00:00
