country,nuts_3,cases,cases/100k pop.,datetime
NO,nordland,118,48.9,2020-05-22T00:00:00
NO,møre og romsdal,133,50.1,2020-05-22T00:00:00
NO,troms og finnmark,252,103.6,2020-05-22T00:00:00
NO,vestfold og telemark,284,67.7,2020-05-22T00:00:00
NO,agder,338,110,2020-05-22T00:00:00
NO,rogaland,438,91.3,2020-05-22T00:00:00
NO,innlandet,486,130.9,2020-05-22T00:00:00
NO,trøndelag,532,113.5,2020-05-22T00:00:00
NO,vestland,882,138.6,2020-05-22T00:00:00
NO,viken,2257,181.8,2020-05-22T00:00:00
NO,oslo,2589,373.3,2020-05-22T00:00:00
