country,nuts_3,cases,cases/100k pop.,datetime
NO,nordland,40846,16994.7,2022-10-19T00:00:00
NO,troms og finnmark,49371,20387.1,2022-10-19T00:00:00
NO,møre og romsdal,55639,20952.8,2022-10-19T00:00:00
NO,innlandet,80768,21793.7,2022-10-19T00:00:00
NO,agder,81082,26253.5,2022-10-19T00:00:00
NO,trøndelag,102558,21768.8,2022-10-19T00:00:00
NO,vestfold og telemark,104668,24809.8,2022-10-19T00:00:00
NO,rogaland,124181,25729.3,2022-10-19T00:00:00
NO,vestland,148135,23188.8,2022-10-19T00:00:00
NO,oslo,262065,37598.5,2022-10-19T00:00:00
NO,viken,392195,31315.9,2022-10-19T00:00:00
