country,nuts_3,cases,cases/100k pop.,datetime
NO,nordland,39104,16269.9,2022-04-20T00:00:00
NO,troms og finnmark,47617,19662.8,2022-04-20T00:00:00
NO,møre og romsdal,52880,19913.8,2022-04-20T00:00:00
NO,innlandet,77925,21026.5,2022-04-20T00:00:00
NO,agder,79167,25633.4,2022-04-20T00:00:00
NO,trøndelag,99431,21105.1,2022-04-20T00:00:00
NO,vestfold og telemark,101409,24037.3,2022-04-20T00:00:00
NO,rogaland,120857,25040.6,2022-04-20T00:00:00
NO,vestland,142825,22357.6,2022-04-20T00:00:00
NO,oslo,256227,36760.9,2022-04-20T00:00:00
NO,viken,381837,30488.8,2022-04-20T00:00:00
