country,nuts_3,cases,cases/100k pop.,datetime
NO,nordland,1600,667,2021-06-04T00:00:00
NO,troms og finnmark,2026,851.5,2021-06-04T00:00:00
NO,møre og romsdal,2055,775.4,2021-06-04T00:00:00
NO,agder,4561,1478.7,2021-06-04T00:00:00
NO,trøndelag,4752,1016.5,2021-06-04T00:00:00
NO,innlandet,5578,1507.5,2021-06-04T00:00:00
NO,rogaland,6613,1375.1,2021-06-04T00:00:00
NO,vestfold og telemark,8200,1948.6,2021-06-04T00:00:00
NO,vestland,9762,1529.5,2021-06-04T00:00:00
NO,oslo,35951,5171.5,2021-06-04T00:00:00
NO,viken,42542,3400,2021-06-04T00:00:00
