country,nuts_3,cases,cases/100k pop.,datetime
NO,nordland,3556,1479.5,2021-10-31T00:00:00
NO,møre og romsdal,4632,1744.3,2021-10-31T00:00:00
NO,troms og finnmark,5115,2112.2,2021-10-31T00:00:00
NO,agder,8013,2594.5,2021-10-31T00:00:00
NO,innlandet,8544,2305.4,2021-10-31T00:00:00
NO,trøndelag,10280,2182,2021-10-31T00:00:00
NO,rogaland,11080,2295.7,2021-10-31T00:00:00
NO,vestfold og telemark,11859,2811,2021-10-31T00:00:00
NO,vestland,16131,2525.1,2021-10-31T00:00:00
NO,oslo,56563,8115.1,2021-10-31T00:00:00
NO,viken,65117,5199.4,2021-10-31T00:00:00
