country,nuts_3,cases,cases/100k pop.,datetime
NO,nordland,1580,657.4,2021-05-27T00:00:00
NO,troms og finnmark,1846,762.3,2021-05-27T00:00:00
NO,møre og romsdal,2022,761.5,2021-05-27T00:00:00
NO,agder,4232,1370.3,2021-05-27T00:00:00
NO,trøndelag,4491,953.3,2021-05-27T00:00:00
NO,innlandet,5425,1463.8,2021-05-27T00:00:00
NO,rogaland,6535,1354,2021-05-27T00:00:00
NO,vestfold og telemark,7961,1887,2021-05-27T00:00:00
NO,vestland,9689,1516.7,2021-05-27T00:00:00
NO,oslo,35472,5089.2,2021-05-27T00:00:00
NO,viken,42147,3365.3,2021-05-27T00:00:00
