country,nuts_3,cases,cases/100k pop.,datetime
NO,nordland,40632,16905.7,2022-08-23T00:00:00
NO,troms og finnmark,49185,20310.3,2022-08-23T00:00:00
NO,møre og romsdal,55342,20841,2022-08-23T00:00:00
NO,innlandet,80377,21688.2,2022-08-23T00:00:00
NO,agder,80882,26188.7,2022-08-23T00:00:00
NO,trøndelag,102173,21687.1,2022-08-23T00:00:00
NO,vestfold og telemark,104378,24741,2022-08-23T00:00:00
NO,rogaland,123900,25671,2022-08-23T00:00:00
NO,vestland,147506,23090.3,2022-08-23T00:00:00
NO,oslo,261343,37494.9,2022-08-23T00:00:00
NO,viken,391268,31241.9,2022-08-23T00:00:00
