country,nuts_3,cases,cases/100k pop.,datetime
NO,nordland,7864,3272,2022-01-06T00:00:00
NO,møre og romsdal,9459,3562.1,2022-01-06T00:00:00
NO,troms og finnmark,13139,5425.6,2022-01-06T00:00:00
NO,innlandet,16344,4410.1,2022-01-06T00:00:00
NO,agder,19289,6245.6,2022-01-06T00:00:00
NO,trøndelag,23051,4892.8,2022-01-06T00:00:00
NO,vestfold og telemark,25323,6002.4,2022-01-06T00:00:00
NO,rogaland,26399,5469.7,2022-01-06T00:00:00
NO,vestland,34814,5449.7,2022-01-06T00:00:00
NO,oslo,102016,14636.2,2022-01-06T00:00:00
NO,viken,126676,10114.8,2022-01-06T00:00:00
