country,nuts_3,cases,cases/100k pop.,datetime
NO,Nordland,114,47.3,2020-04-29T00:00:00
NO,Møre og Romsdal,123,46.4,2020-04-29T00:00:00
NO,Troms og Finnmark,237,97.4,2020-04-29T00:00:00
NO,Vestfold og Telemark,272,64.9,2020-04-29T00:00:00
NO,Agder,324,105.5,2020-04-29T00:00:00
NO,Rogaland,423,88.1,2020-04-29T00:00:00
NO,Innlandet,437,117.7,2020-04-29T00:00:00
NO,Trøndelag,472,100.7,2020-04-29T00:00:00
NO,Vestland,853,134.0,2020-04-29T00:00:00
NO,Viken,2058,165.8,2020-04-29T00:00:00
NO,Oslo,2354,339.4,2020-04-29T00:00:00
