country,nuts_3,cases,cases/100k pop.,datetime
NO,nordland,1034,428.6,2021-02-21T00:00:00
NO,troms og finnmark,1225,503.5,2021-02-21T00:00:00
NO,møre og romsdal,1264,476.6,2021-02-21T00:00:00
NO,agder,1854,603.5,2021-02-21T00:00:00
NO,innlandet,3379,909.8,2021-02-21T00:00:00
NO,vestfold og telemark,3382,806.4,2021-02-21T00:00:00
NO,rogaland,3484,726,2021-02-21T00:00:00
NO,trøndelag,3536,754.4,2021-02-21T00:00:00
NO,vestland,6716,1055.1,2021-02-21T00:00:00
NO,oslo,18660,2690.7,2021-02-21T00:00:00
NO,viken,22355,1801.1,2021-02-21T00:00:00
