country,nuts_3,cases,cases/100k pop.,datetime
NO,nordland,165,68.4,2020-08-24T00:00:00
NO,møre og romsdal,173,65.2,2020-08-24T00:00:00
NO,troms og finnmark,318,130.7,2020-08-24T00:00:00
NO,vestfold og telemark,350,83.5,2020-08-24T00:00:00
NO,agder,385,125.3,2020-08-24T00:00:00
NO,rogaland,512,106.7,2020-08-24T00:00:00
NO,innlandet,554,149.2,2020-08-24T00:00:00
NO,trøndelag,620,132.3,2020-08-24T00:00:00
NO,vestland,1013,159.1,2020-08-24T00:00:00
NO,viken,2915,234.9,2020-08-24T00:00:00
NO,oslo,3317,478.3,2020-08-24T00:00:00
