"YEAR_WEEK","NIS5","AGEGROUP","DOSE","CUMUL"
"20W53",64074,"75-84","A","<10"
"20W53",64075,"45-54","A","<10"
"20W53",71016,"45-54","A","<10"
"20W53",71053,"18-34","A","<10"
"20W53",73083,"18-34","A","<10"
"20W53",91141,"55-64","A","<10"
"20W53",93010,"18-34","A","<10"
"21W01",11001,"85+","A","<10"
"21W01",11002,"18-34","A","<10"
"21W01",11002,"45-54","A","<10"
"21W01",11002,"55-64","A","<10"
"21W01",11002,"65-74","A","<10"
"21W01",11002,"75-84","A","<10"
"21W01",11002,"85+","A","<10"
"21W01",11004,"18-34","A","<10"
"21W01",11004,"35-44","A","<10"
"21W01",11004,"45-54","A","<10"
"21W01",11004,"65-74","A","<10"
"21W01",11004,"75-84","A","10"
"21W01",11004,"85+","A","13"
"21W01",11005,"18-34","A","<10"
"21W01",11005,"65-74","A","<10"
"21W01",11007,"85+","A","<10"
"21W01",11008,"18-34","A","<10"
"21W01",11008,"45-54","A","<10"
"21W01",11009,"18-34","A","<10"
"21W01",11009,"35-44","A","<10"
"21W01",11009,"45-54","A","<10"
"21W01",11009,"55-64","A","<10"
"21W01",11009,"75-84","A","<10"
"21W01",11009,"85+","A","<10"
"21W01",11013,"18-34","A","<10"
"21W01",11013,"35-44","A","<10"
"21W01",11013,"45-54","A","<10"
"21W01",11013,"55-64","A","<10"
"21W01",11013,"65-74","A","<10"
"21W01",11013,"75-84","A","33"
"21W01",11013,"85+","A","117"
"21W01",11018,"18-34","A","<10"
"21W01",11018,"35-44","A","<10"
"21W01",11021,"18-34","A","<10"
"21W01",11021,"55-64","A","<10"
"21W01",11021,"65-74","A","<10"
"21W01",11021,"85+","A","<10"
"21W01",11023,"18-34","A","<10"
"21W01",11023,"45-54","A","<10"
"21W01",11024,"18-34","A","<10"
"21W01",11024,"35-44","A","<10"
"21W01",11024,"45-54","A","<10"
"21W01",11024,"55-64","A","<10"
"21W01",11024,"65-74","A","<10"
"21W01",11024,"85+","A","<10"
"21W01",11025,"18-34","A","<10"
"21W01",11029,"18-34","A","<10"
"21W01",11029,"35-44","A","<10"
"21W01",11029,"45-54","A","<10"
"21W01",11029,"55-64","A","<10"
"21W01",11029,"65-74","A","<10"
"21W01",11029,"75-84","A","<10"
"21W01",11029,"85+","A","<10"
"21W01",11030,"45-54","A","<10"
"21W01",11035,"18-34","A","<10"
"21W01",11035,"35-44","A","<10"
"21W01",11035,"45-54","A","<10"
"21W01",11035,"55-64","A","<10"
"21W01",11035,"65-74","A","<10"
"21W01",11035,"75-84","A","51"
"21W01",11035,"85+","A","95"
"21W01",11037,"18-34","A","<10"
"21W01",11037,"35-44","A","<10"
"21W01",11037,"55-64","A","<10"
"21W01",11037,"75-84","A","<10"
"21W01",11038,"18-34","A","<10"
"21W01",11039,"35-44","A","<10"
"21W01",11039,"45-54","A","10"
"21W01",11039,"55-64","A","<10"
"21W01",11039,"65-74","A","<10"
"21W01",11039,"75-84","A","29"
"21W01",11039,"85+","A","117"
"21W01",11040,"18-34","A","<10"
"21W01",11040,"45-54","A","<10"
"21W01",11040,"55-64","A","<10"
"21W01",11040,"75-84","A","<10"
"21W01",11040,"85+","A","<10"
"21W01",11050,"85+","A","<10"
"21W01",11052,"35-44","A","<10"
"21W01",11052,"55-64","A","<10"
"21W01",11052,"75-84","A","<10"
"21W01",11052,"85+","A","<10"
"21W01",11054,"18-34","A","<10"
"21W01",11054,"35-44","A","<10"
"21W01",11054,"45-54","A","<10"
"21W01",11055,"18-34","A","<10"
"21W01",11055,"35-44","A","<10"
"21W01",11055,"45-54","A","<10"
"21W01",11055,"55-64","A","10"
"21W01",11055,"75-84","A","<10"
"21W01",11057,"18-34","A","<10"
"21W01",11057,"35-44","A","<10"
"21W01",12002,"18-34","A","<10"
"21W01",12002,"35-44","A","<10"
"21W01",12002,"55-64","A","<10"
"21W01",12002,"65-74","A","<10"
"21W01",12002,"75-84","A","43"
"21W01",12002,"85+","A","102"
"21W01",12005,"18-34","A","<10"
"21W01",12005,"35-44","A","<10"
"21W01",12005,"45-54","A","<10"
"21W01",12005,"65-74","A","<10"
