country,lau,hospitalized,population,hospitalized/100k pop.,deaths,cases,datetime
NL,Papendrecht,0,32133.0,0.0,,,2020-04-01T10:06:00
NL,Vlieland,0,1152.0,0.0,,,2020-04-01T10:06:00
NL,Beek,0,15868.0,0.0,,,2020-04-01T10:06:00
NL,Terschelling,0,4889.0,0.0,,,2020-04-01T10:06:00
NL,Noord-Beveland,0,7395.0,0.0,,,2020-04-01T10:06:00
NL,Waalre,0,17454.0,0.0,,,2020-04-01T10:06:00
NL,Ameland,0,3718.0,0.0,,,2020-04-01T10:06:00
NL,Loppersum,0,9533.0,0.0,,,2020-04-01T10:06:00
NL,Stadskanaal,0,31688.0,0.0,,,2020-04-01T10:06:00
NL,Achtkarspelen,0,27836.0,0.0,,,2020-04-01T10:06:00
NL,Scherpenzeel,0,9880.0,0.0,,,2020-04-01T10:06:00
NL,Schiermonnikoog,0,947.0,0.0,,,2020-04-01T10:06:00
NL,Dantumadiel,0,18916.0,0.0,,,2020-04-01T10:06:00
NL,Westerveld,1,19460.0,5.1,,,2020-04-01T10:06:00
NL,Drechterland,1,19717.0,5.1,,,2020-04-01T10:06:00
NL,Kapelle,1,12691.0,7.9,,,2020-04-01T10:06:00
NL,Eemnes,1,9247.0,10.8,,,2020-04-01T10:06:00
NL,Bunschoten,1,21867.0,4.6,,,2020-04-01T10:06:00
NL,Hardinxveld-Giessendam,1,18295.0,5.5,,,2020-04-01T10:06:00
NL,Harlingen,1,15720.0,6.4,,,2020-04-01T10:06:00
NL,Bronckhorst,1,36052.0,2.8,,,2020-04-01T10:06:00
NL,Aa en Hunze,1,25453.0,3.9,,,2020-04-01T10:06:00
NL,Texel,1,13573.0,7.4,,,2020-04-01T10:06:00
NL,Tytsjerksteradiel,1,32046.0,3.1,,,2020-04-01T10:06:00
NL,Midden-Delfland,1,19344.0,5.2,,,2020-04-01T10:06:00
NL,Borger-Odoorn,1,25558.0,3.9,,,2020-04-01T10:06:00
NL,Noordenveld,1,31242.0,3.2,,,2020-04-01T10:06:00
