country,lau,cases,population,deaths,hospitalized,datetime
NL,Terschelling,1,4889,,0,2020-04-15T13:50:00
NL,Schiermonnikoog,0,947,,0,2020-04-15T13:50:00
NL,Vlieland,0,1152,,0,2020-04-15T13:50:00
NL,Achtkarspelen,5,27836,,0,2020-04-15T13:50:00
NL,Loppersum,2,9533,,0,2020-04-15T13:50:00
NL,Ameland,0,3718,,0,2020-04-15T13:50:00
NL,Rozendaal,2,1705,,1,2020-04-15T13:50:00
NL,Baarle-Nassau,4,6860,,1,2020-04-15T13:50:00
NL,Opmeer,5,11837,,1,2020-04-15T13:50:00
NL,Ooststellingwerf,2,25472,,1,2020-04-15T13:50:00
NL,Noord-Beveland,5,7395,,1,2020-04-15T13:50:00
NL,Hardinxveld-Giessendam,25,18295,,1,2020-04-15T13:50:00
NL,Eemnes,11,9247,,1,2020-04-15T13:50:00
NL,Aa en Hunze,10,25453,,1,2020-04-15T13:50:00
NL,Noordenveld,13,31242,,2,2020-04-15T13:50:00
NL,Borger-Odoorn,4,25558,,2,2020-04-15T13:50:00
NL,Kapelle,15,12691,,2,2020-04-15T13:50:00
NL,Veendam,7,27387,,2,2020-04-15T13:50:00
NL,Aalten,27,27117,,2,2020-04-15T13:50:00
NL,Zoeterwoude,7,8611,,2,2020-04-15T13:50:00
NL,Appingedam,2,11644,,2,2020-04-15T13:50:00
NL,Stadskanaal,4,31688,,2,2020-04-15T13:50:00
NL,Oldambt,6,38213,,2,2020-04-15T13:50:00
NL,Weststellingwerf,13,25916,,2,2020-04-15T13:50:00
NL,Dantumadiel,6,18916,,2,2020-04-15T13:50:00
NL,Landsmeer,17,11492,,3,2020-04-15T13:50:00
NL,Putten,16,24113,,3,2020-04-15T13:50:00
NL,Harlingen,11,15720,,3,2020-04-15T13:50:00
NL,Winterswijk,21,28865,,3,2020-04-15T13:50:00
NL,Scherpenzeel,17,9880,,3,2020-04-15T13:50:00
NL,Drechterland,33,19717,,3,2020-04-15T13:50:00
NL,Pekela,4,12199,,4,2020-04-15T13:50:00
NL,Midden-Delfland,12,19344,,4,2020-04-15T13:50:00
NL,Renswoude,12,5448,,4,2020-04-15T13:50:00
NL,Bunschoten,30,21867,,4,2020-04-15T13:50:00
NL,Borsele,18,22738,,4,2020-04-15T13:50:00
NL,Reimerswaal,22,22728,,4,2020-04-15T13:50:00
NL,Rhenen,15,20125,,4,2020-04-15T13:50:00
NL,Woensdrecht,24,21883,,4,2020-04-15T13:50:00
NL,Wierden,31,24440,,4,2020-04-15T13:50:00
NL,Texel,11,13573,,4,2020-04-15T13:50:00
NL,Tytsjerksteradiel,14,32046,,4,2020-04-15T13:50:00
NL,Uitgeest,18,13649,,4,2020-04-15T13:50:00
NL,Beemster,8,10025,,4,2020-04-15T13:50:00
NL,Doesburg,16,11078,,5,2020-04-15T13:50:00
