country,lau,cases,population,deaths,hospitalized,datetime
NL,Schiermonnikoog,0,947,,0,2020-04-09T13:50:00
NL,Vlieland,0,1152,,0,2020-04-09T13:50:00
NL,Achtkarspelen,5,27836,,0,2020-04-09T13:50:00
NL,Loppersum,2,9533,,0,2020-04-09T13:50:00
NL,Ameland,0,3718,,0,2020-04-09T13:50:00
NL,Terschelling,1,4889,,0,2020-04-09T13:50:00
NL,Hardinxveld-Giessendam,18,18295,,1,2020-04-09T13:50:00
NL,Veendam,5,27387,,1,2020-04-09T13:50:00
NL,Kapelle,13,12691,,1,2020-04-09T13:50:00
NL,Noord-Beveland,4,7395,,1,2020-04-09T13:50:00
NL,Stadskanaal,2,31688,,1,2020-04-09T13:50:00
NL,Rozendaal,2,1705,,1,2020-04-09T13:50:00
NL,Oldambt,4,38213,,1,2020-04-09T13:50:00
NL,Ooststellingwerf,2,25472,,1,2020-04-09T13:50:00
NL,Eemnes,7,9247,,1,2020-04-09T13:50:00
NL,Opmeer,4,11837,,1,2020-04-09T13:50:00
NL,Aalten,18,27117,,1,2020-04-09T13:50:00
NL,Aa en Hunze,7,25453,,1,2020-04-09T13:50:00
NL,Baarle-Nassau,3,6860,,1,2020-04-09T13:50:00
NL,Berkelland,18,43748,,2,2020-04-09T13:50:00
NL,Harlingen,7,15720,,2,2020-04-09T13:50:00
NL,Zoeterwoude,7,8611,,2,2020-04-09T13:50:00
NL,Scherpenzeel,13,9880,,2,2020-04-09T13:50:00
NL,Drechterland,26,19717,,2,2020-04-09T13:50:00
NL,Dantumadiel,6,18916,,2,2020-04-09T13:50:00
NL,Noordenveld,9,31242,,2,2020-04-09T13:50:00
NL,Appingedam,2,11644,,2,2020-04-09T13:50:00
NL,Weststellingwerf,8,25916,,2,2020-04-09T13:50:00
NL,Winterswijk,10,28865,,2,2020-04-09T13:50:00
NL,Borger-Odoorn,3,25558,,2,2020-04-09T13:50:00
NL,Landsmeer,17,11492,,3,2020-04-09T13:50:00
NL,Rhenen,12,20125,,3,2020-04-09T13:50:00
NL,Midden-Delfland,11,19344,,3,2020-04-09T13:50:00
NL,Putten,14,24113,,3,2020-04-09T13:50:00
NL,Texel,8,13573,,3,2020-04-09T13:50:00
NL,Uitgeest,14,13649,,3,2020-04-09T13:50:00
NL,Veere,18,21885,,4,2020-04-09T13:50:00
NL,Pekela,4,12199,,4,2020-04-09T13:50:00
NL,Bronckhorst,19,36052,,4,2020-04-09T13:50:00
NL,Doesburg,11,11078,,4,2020-04-09T13:50:00
NL,Renswoude,9,5448,,4,2020-04-09T13:50:00
NL,Tytsjerksteradiel,14,32046,,4,2020-04-09T13:50:00
NL,Bunschoten,20,21867,,4,2020-04-09T13:50:00
NL,Diemen,17,30781,,4,2020-04-09T13:50:00
NL,Staphorst,27,17144,,4,2020-04-09T13:50:00
NL,Reimerswaal,15,22728,,4,2020-04-09T13:50:00
NL,Borsele,14,22738,,4,2020-04-09T13:50:00
NL,Midden-Groningen,13,60804,,4,2020-04-09T13:50:00
NL,Waalre,20,17454,,4,2020-04-09T13:50:00
NL,Woensdrecht,13,21883,,4,2020-04-09T13:50:00
NL,Ouder-Amstel,17,14029,,4,2020-04-09T13:50:00
NL,Mook en Middelaar,17,7847,,4,2020-04-09T13:50:00
NL,Wierden,21,24440,,4,2020-04-09T13:50:00
NL,Noardeast-Fryslân,11,45251,,4,2020-04-09T13:50:00
NL,Oost Gelre,27,29623,,4,2020-04-09T13:50:00
NL,Beemster,8,10025,,4,2020-04-09T13:50:00
NL,Hillegom,16,22208,,5,2020-04-09T13:50:00
NL,Meppel,21,33902,,5,2020-04-09T13:50:00
NL,Lisse,12,22957,,5,2020-04-09T13:50:00
NL,Delfzijl,13,24666,,5,2020-04-09T13:50:00
NL,Westerwolde,5,25796,,5,2020-04-09T13:50:00
NL,Oegstgeest,23,24843,,5,2020-04-09T13:50:00
NL,Krimpen aan den IJssel,33,29533,,5,2020-04-09T13:50:00
NL,Opsterland,13,29742,,5,2020-04-09T13:50:00
NL,Hendrik-Ido-Ambacht,17,31204,,5,2020-04-09T13:50:00
NL,Bloemendaal,34,23570,,5,2020-04-09T13:50:00
NL,Blaricum,11,11536,,5,2020-04-09T13:50:00
NL,Westerveld,17,19460,,5,2020-04-09T13:50:00
NL,Bergen (L.),9,13085,,5,2020-04-09T13:50:00
