country,city,cases,datetime
NL,Castricum,0,2020-03-07
NL,Capelle aan den IJssel,0,2020-03-07
NL,Buren,0,2020-03-07
NL,Bunschoten,0,2020-03-07
NL,Bunnik,0,2020-03-07
NL,Brunssum,0,2020-03-07
NL,Cranendonck,0,2020-03-07
NL,Brummen,0,2020-03-07
NL,Deurne,0,2020-03-07
NL,Doesburg,0,2020-03-07
NL,Elburg,0,2020-03-07
NL,Eijsden-Margraten,0,2020-03-07
NL,Eersel,0,2020-03-07
NL,Eemnes,0,2020-03-07
NL,Ede,0,2020-03-07
NL,Edam-Volendam,0,2020-03-07
NL,Koggenland,0,2020-03-07
NL,Echt-Susteren,0,2020-03-07
NL,Druten,0,2020-03-07
NL,Dronten,0,2020-03-07
NL,Drimmelen,0,2020-03-07
NL,Drechterland,0,2020-03-07
NL,Dordrecht,0,2020-03-07
NL,Doetinchem,0,2020-03-07
NL,Duiven,0,2020-03-07
NL,Emmen,0,2020-03-07
NL,Brielle,0,2020-03-07
NL,Boxmeer,0,2020-03-07
NL,Asten,0,2020-03-07
NL,Assen,0,2020-03-07
NL,Appingedam,0,2020-03-07
NL,Apeldoorn,0,2020-03-07
NL,Amersfoort,0,2020-03-07
NL,Ameland,0,2020-03-07
NL,Baarle-Nassau,0,2020-03-07
NL,Alphen-Chaam,0,2020-03-07
NL,Alkmaar,0,2020-03-07
NL,Albrandswaard,0,2020-03-07
NL,Alblasserdam,0,2020-03-07
NL,Achtkarspelen,0,2020-03-07
NL,Aalten,0,2020-03-07
NL,Aalsmeer,0,2020-03-07
NL,Almelo,0,2020-03-07
NL,Boxtel,0,2020-03-07
NL,Baarn,0,2020-03-07
NL,Barneveld,0,2020-03-07
NL,Borsele,0,2020-03-07
NL,Borger-Odoorn,0,2020-03-07
NL,Boekel,0,2020-03-07
NL,Bodegraven-Reeuwijk,0,2020-03-07
NL,Bladel,0,2020-03-07
NL,Berkelland,0,2020-03-07
NL,Barendrecht,0,2020-03-07
NL,Bergen op Zoom,0,2020-03-07
NL,Bergen (L),0,2020-03-07
NL,Bergeijk,0,2020-03-07
NL,Berg en Dal,0,2020-03-07
NL,Beesel,0,2020-03-07
NL,Beemster,0,2020-03-07
NL,Beek,0,2020-03-07
NL,Bergen (NH),0,2020-03-07
NL,Enkhuizen,0,2020-03-07
NL,Deventer,0,2020-03-07
NL,Heiloo,0,2020-03-07
NL,Hulst,0,2020-03-07
NL,Huizen,0,2020-03-07
NL,Zwijndrecht,0,2020-03-07
NL,Haaksbergen,0,2020-03-07
NL,Hilvarenbeek,0,2020-03-07
NL,Hendrik-Ido-Ambacht,0,2020-03-07
NL,Haaren,0,2020-03-07
NL,Horst aan de Maas,0,2020-03-07
NL,Heeze-Leende,0,2020-03-07
NL,Heerlen,0,2020-03-07
NL,Haarlemmermeer,0,2020-03-07
NL,Enschede,0,2020-03-07
NL,Hoorn,0,2020-03-07
NL,Hardenberg,0,2020-03-07
NL,Hoogeveen,0,2020-03-07
NL,Harderwijk,0,2020-03-07
NL,Hollands Kroon,0,2020-03-07
NL,Harlingen,0,2020-03-07
NL,Heerhugowaard,0,2020-03-07
NL,Hattem,0,2020-03-07
NL,Heemskerk,0,2020-03-07
NL,Heemstede,0,2020-03-07
NL,Heerde,0,2020-03-07
NL,Hof van Twente,0,2020-03-07
NL,Halderberge,0,2020-03-07
NL,Heerenveen,0,2020-03-07
NL,Hillegom,0,2020-03-07
NL,Groningen,0,2020-03-07
NL,Epe,0,2020-03-07
NL,Katwijk,0,2020-03-07
NL,Ermelo,0,2020-03-07
NL,Etten-Leur,0,2020-03-07
NL,Hellevoetsluis,0,2020-03-07
NL,Geertruidenberg,0,2020-03-07
NL,Geldrop-Mierlo,0,2020-03-07
NL,Hengelo (O),0,2020-03-07
NL,Gennep,0,2020-03-07
NL,Kapelle,0,2020-03-07
NL,Gilze en Rijen,0,2020-03-07
NL,Gulpen-Wittem,0,2020-03-07
NL,Goeree-Overflakkee,0,2020-03-07
NL,Goirle,0,2020-03-07
NL,Het Hogeland,0,2020-03-07
NL,Kampen,0,2020-03-07
NL,Kaag en Braassem,0,2020-03-07
NL,IJsselstein,0,2020-03-07
NL,Gorinchem,0,2020-03-07
NL,Heumen,0,2020-03-07
NL,Gouda,0,2020-03-07
NL,Grave,0,2020-03-07
NL,Goes,0,2020-03-07
NL,Hilversum,0,2020-03-07
NL,Vijfheerenlanden,1,2020-03-07
NL,Heusden,1,2020-03-07
NL,West Maas en Waal,1,2020-03-07
NL,Arnhem,1,2020-03-07
NL,Leidschendam-Voorburg,1,2020-03-07
NL,Amstelveen,1,2020-03-07
NL,Westvoorne,1,2020-03-07
NL,Alphen aan den Rijn,1,2020-03-07
NL,Almere,1,2020-03-07
NL,Wijk bij Duurstede,1,2020-03-07
NL,Landsmeer,1,2020-03-07
NL,Zaltbommel,1,2020-03-07
NL,Zeewolde,1,2020-03-07
NL,Zeist,1,2020-03-07
NL,Waalre,1,2020-03-07
NL,Bernheze,1,2020-03-07
NL,Oss,1,2020-03-07
NL,Beuningen,1,2020-03-07
NL,Oegstgeest,1,2020-03-07
NL,Bronckhorst,1,2020-03-07
NL,Delft,1,2020-03-07
NL,Schouwen-Duiveland,1,2020-03-07
NL,Haarlem,1,2020-03-07
NL,Ridderkerk,1,2020-03-07
NL,Dinkelland,1,2020-03-07
NL,Hellendoorn,1,2020-03-07
NL,Bloemendaal,1,2020-03-07
NL,Blaricum,1,2020-03-07
NL,Utrechtse Heuvelrug,1,2020-03-07
NL,Renkum,1,2020-03-07
NL,Gemert-Bakel,1,2020-03-07
NL,Best,1,2020-03-07
NL,Meierijstad,1,2020-03-07
NL,Culemborg,1,2020-03-07
NL,'s-Gravenhage,2,2020-03-07
NL,Dongen,2,2020-03-07
NL,Lansingerland,2,2020-03-07
NL,'s-Hertogenbosch,2,2020-03-07
NL,Woerden,2,2020-03-07
NL,Gooise Meren,2,2020-03-07
NL,Zaanstad,2,2020-03-07
NL,Pijnacker-Nootdorp,2,2020-03-07
NL,Diemen,2,2020-03-07
NL,Simpelveld,2,2020-03-07
NL,Lingewaard,2,2020-03-07
NL,Breda,2,2020-03-07
NL,West Betuwe,2,2020-03-07
NL,Nijmegen,2,2020-03-07
NL,Beekdaelen,2,2020-03-07
NL,Borne,2,2020-03-07
NL,Hoeksche Waard,2,2020-03-07
NL,Maastricht,3,2020-03-07
NL,Beverwijk,3,2020-03-07
NL,Oisterwijk,3,2020-03-07
NL,Sint-Michielsgestel,3,2020-03-07
NL,Amsterdam,3,2020-03-07
NL,Waalwijk,3,2020-03-07
NL,Coevorden,3,2020-03-07
NL,Hardinxveld-Giessendam,4,2020-03-07
NL,Altena,4,2020-03-07
NL,Helmond,4,2020-03-07
NL,Eindhoven,4,2020-03-07
NL,Stichtse Vecht,4,2020-03-07
NL,Sittard-Geleen,4,2020-03-07
NL,Uden,6,2020-03-07
NL,De Bilt,6,2020-03-07
NL,Loon op Zand,7,2020-03-07
NL,Soest,7,2020-03-07
NL,Tilburg,10,2020-03-07
NL,Rotterdam,11,2020-03-07
NL,Utrecht,11,2020-03-07
NL,Houten,13,2020-03-07
NL,sum,184,2020-03-07
