country,nuts_2,lau,cases,population,deaths,hospitalized,datetime
NL,Groningen,Groningen,109298,,79,9999,2022-10-28T10:00:00
NL,Groningen,,2081,,0,9999,2022-10-28T10:00:00
NL,Limburg,,5562,,3,9999,2022-10-28T10:00:00
NL,Noord-Brabant,,12922,,8,9999,2022-10-28T10:00:00
NL,Noord-Holland,,18850,,7,9999,2022-10-28T10:00:00
NL,Overijssel,,4815,,6,9999,2022-10-28T10:00:00
NL,Utrecht,,4653,,2,9999,2022-10-28T10:00:00
NL,Zeeland,,1563,,2,9999,2022-10-28T10:00:00
NL,Zuid-Holland,,17072,,19,9999,2022-10-28T10:00:00
NL,,,129,,0,9999,2022-10-28T10:00:00
NL,Groningen,Groningen,109355,,79,9999,2022-10-28T10:00:00
NL,Flevoland,Almere,97960,,132,9999,2022-10-28T10:00:00
NL,Groningen,Stadskanaal,13481,,25,9999,2022-10-28T10:00:00
NL,Groningen,Veendam,11640,,20,9999,2022-10-28T10:00:00
NL,Flevoland,Zeewolde,10523,,20,9999,2022-10-28T10:00:00
NL,Fryslân,Achtkarspelen,13627,,41,9999,2022-10-28T10:00:00
NL,Fryslân,Ameland,1095,,1,9999,2022-10-28T10:00:00
NL,Fryslân,Harlingen,6341,,10,9999,2022-10-28T10:00:00
NL,Fryslân,Heerenveen,22628,,44,9999,2022-10-28T10:00:00
NL,Fryslân,Leeuwarden,56259,,104,9999,2022-10-28T10:00:00
NL,Fryslân,Ooststellingwerf,10265,,8,9999,2022-10-28T10:00:00
NL,Fryslân,Opsterland,12991,,13,9999,2022-10-28T10:00:00
NL,Fryslân,Schiermonnikoog,279,,2,9999,2022-10-28T10:00:00
NL,Fryslân,Smallingerland,24894,,43,9999,2022-10-28T10:00:00
NL,Fryslân,Terschelling,1747,,2,9999,2022-10-28T10:00:00
NL,Fryslân,Vlieland,442,,2,9999,2022-10-28T10:00:00
NL,Fryslân,Weststellingwerf,10617,,32,9999,2022-10-28T10:00:00
NL,Drenthe,Assen,30235,,27,9999,2022-10-28T10:00:00
NL,Drenthe,Coevorden,15236,,36,9999,2022-10-28T10:00:00
NL,Drenthe,Emmen,47483,,103,9999,2022-10-28T10:00:00
NL,Gelderland,,8338,,4,9999,2022-10-28T10:00:00
NL,Fryslân,,965,,0,9999,2022-10-28T10:00:00
