country,nuts_2,lau,cases,population,deaths,hospitalized,datetime
NL,Drenthe,,54,,0,0,2021-10-31T10:00:00
NL,Fryslân,Vlieland,84,,0,0,2021-10-31T10:00:00
NL,Fryslân,,87,,0,1,2021-10-31T10:00:00
NL,Flevoland,,66,,0,1,2021-10-31T10:00:00
NL,Groningen,,60,,0,1,2021-10-31T10:00:00
NL,Gelderland,Rozendaal,136,,0,1,2021-10-31T10:00:00
NL,Fryslân,Schiermonnikoog,49,,2,1,2021-10-31T10:00:00
NL,Fryslân,Ameland,287,,1,3,2021-10-31T10:00:00
NL,Fryslân,Terschelling,379,,2,3,2021-10-31T10:00:00
NL,Zeeland,,110,,1,5,2021-10-31T10:00:00
NL,Overijssel,,603,,3,5,2021-10-31T10:00:00
NL,Noord-Holland,Texel,769,,4,6,2021-10-31T10:00:00
NL,Gelderland,Scherpenzeel,1584,,12,6,2021-10-31T10:00:00
NL,Limburg,,468,,3,7,2021-10-31T10:00:00
NL,Drenthe,Aa en Hunze,1735,,21,8,2021-10-31T10:00:00
NL,Utrecht,Renswoude,893,,5,9,2021-10-31T10:00:00
NL,Noord-Holland,Beemster,1130,,3,9,2021-10-31T10:00:00
NL,Gelderland,,723,,3,10,2021-10-31T10:00:00
NL,Zuid-Holland,Zoeterwoude,1047,,1,10,2021-10-31T10:00:00
NL,Noord-Holland,Uitgeest,1590,,7,12,2021-10-31T10:00:00
NL,Noord-Holland,Opmeer,1596,,6,12,2021-10-31T10:00:00
NL,Limburg,Mook en Middelaar,747,,12,12,2021-10-31T10:00:00
NL,Groningen,Veendam,2324,,11,13,2021-10-31T10:00:00
NL,Noord-Brabant,Baarle-Nassau,752,,4,13,2021-10-31T10:00:00
NL,Fryslân,Harlingen,1035,,6,13,2021-10-31T10:00:00
NL,Noord-Holland,Blaricum,1330,,6,14,2021-10-31T10:00:00
NL,Noord-Holland,Landsmeer,1506,,6,14,2021-10-31T10:00:00
NL,Overijssel,Ommen,1805,,16,16,2021-10-31T10:00:00
NL,Zeeland,Kapelle,1323,,6,16,2021-10-31T10:00:00
NL,Noord-Holland,Oostzaan,1188,,8,17,2021-10-31T10:00:00
NL,Noord-Brabant,Mill en Sint Hubert,1479,,10,17,2021-10-31T10:00:00
NL,Noord-Holland,Ouder-Amstel,1734,,5,18,2021-10-31T10:00:00
NL,Utrecht,,294,,2,18,2021-10-31T10:00:00
NL,Noord-Holland,Laren,1310,,29,18,2021-10-31T10:00:00
NL,Drenthe,Westerveld,1227,,22,19,2021-10-31T10:00:00
NL,Noord-Holland,Bloemendaal,2288,,17,19,2021-10-31T10:00:00
NL,Zuid-Holland,Midden-Delfland,2573,,14,19,2021-10-31T10:00:00
NL,Fryslân,Ooststellingwerf,1876,,6,20,2021-10-31T10:00:00
