country,nuts_2,lau,cases,population,deaths,hospitalized,datetime
NL,Groningen,Groningen,103263,,73,9999,2022-04-22T10:00:00
NL,Limburg,Maastricht,54377,,264,9999,2022-04-22T10:00:00
NL,Limburg,Kerkrade,19118,,116,9999,2022-04-22T10:00:00
NL,Limburg,Heerlen,38149,,169,9999,2022-04-22T10:00:00
NL,Limburg,Gennep,8812,,32,9999,2022-04-22T10:00:00
NL,Limburg,Brunssum,12966,,72,9999,2022-04-22T10:00:00
NL,Limburg,Bergen (L.),6518,,20,9999,2022-04-22T10:00:00
NL,Limburg,Beesel,6348,,15,9999,2022-04-22T10:00:00
NL,Limburg,Beek,7531,,16,9999,2022-04-22T10:00:00
NL,Limburg,Meerssen,8733,,43,9999,2022-04-22T10:00:00
NL,Limburg,Landgraaf,17059,,102,9999,2022-04-22T10:00:00
NL,Noord-Brabant,Zundert,9018,,19,9999,2022-04-22T10:00:00
NL,Noord-Brabant,Woensdrecht,8654,,26,9999,2022-04-22T10:00:00
NL,Noord-Brabant,Waalwijk,22299,,84,9999,2022-04-22T10:00:00
NL,Noord-Brabant,Waalre,8005,,18,9999,2022-04-22T10:00:00
NL,Noord-Brabant,Vught,15546,,58,9999,2022-04-22T10:00:00
NL,Noord-Brabant,Veldhoven,21378,,56,9999,2022-04-22T10:00:00
NL,Noord-Brabant,Valkenswaard,14468,,77,9999,2022-04-22T10:00:00
NL,Noord-Brabant,Tilburg,108437,,307,9999,2022-04-22T10:00:00
NL,Noord-Holland,Wormerland,6996,,38,9999,2022-04-22T10:00:00
NL,Noord-Holland,Waterland,7631,,18,9999,2022-04-22T10:00:00
NL,Limburg,Mook en Middelaar,3417,,13,9999,2022-04-22T10:00:00
NL,Limburg,Roermond,26923,,81,9999,2022-04-22T10:00:00
NL,Limburg,Maasgouw,10864,,45,9999,2022-04-22T10:00:00
NL,Limburg,Leudal,15935,,61,9999,2022-04-22T10:00:00
NL,Zuid-Holland,Lansingerland,30891,,79,9999,2022-04-22T10:00:00
NL,Noord-Holland,Koggenland,10638,,26,9999,2022-04-22T10:00:00
NL,Gelderland,Oost Gelre,14916,,50,9999,2022-04-22T10:00:00
NL,Utrecht,Utrechtse Heuvelrug,21128,,92,9999,2022-04-22T10:00:00
NL,Zuid-Holland,Teylingen,17729,,28,9999,2022-04-22T10:00:00
NL,Gelderland,Oude IJsselstreek,18365,,58,9999,2022-04-22T10:00:00
NL,Limburg,Nederweert,8636,,29,9999,2022-04-22T10:00:00
NL,Limburg,Horst aan de Maas,22894,,78,9999,2022-04-22T10:00:00
NL,Limburg,Valkenburg aan de Geul,7004,,36,9999,2022-04-22T10:00:00
NL,Limburg,Weert,24658,,103,9999,2022-04-22T10:00:00
