country,lau,cases,population,cases/100k pop.,deaths,hospitalized,datetime
NL,Renswoude,0,5259.0,0.0,,,2020-03-26T14:00:00
NL,Borger-Odoorn,0,25372.0,0.0,,,2020-03-26T14:00:00
NL,Schiermonnikoog,0,936.0,0.0,,,2020-03-26T14:00:00
NL,Terschelling,0,4890.0,0.0,,,2020-03-26T14:00:00
NL,Vlieland,0,1138.0,0.0,,,2020-03-26T14:00:00
NL,Appingedam,0,11721.0,0.0,,,2020-03-26T14:00:00
NL,Ameland,0,3673.0,0.0,,,2020-03-26T14:00:00
NL,Oldambt,0,38129.0,0.0,,,2020-03-26T14:00:00
NL,Zoeterwoude,1,8450.0,11.8,,,2020-03-26T14:00:00
NL,Stadskanaal,1,31789.0,3.1,,,2020-03-26T14:00:00
NL,Bergen (L),1,13140.0,7.6,,,2020-03-26T14:00:00
NL,Loppersum,1,9614.0,10.4,,,2020-03-26T14:00:00
NL,Ooststellingwerf,1,25497.0,3.9,,,2020-03-26T14:00:00
NL,Hulst,1,27524.0,3.6,,,2020-03-26T14:00:00
NL,Losser,1,22622.0,4.4,,,2020-03-26T14:00:00
NL,Eemnes,1,9113.0,11.0,,,2020-03-26T14:00:00
NL,Veendam,1,27491.0,3.6,,,2020-03-26T14:00:00
NL,Dantumadiel,1,18923.0,5.3,,,2020-03-26T14:00:00
NL,Achtkarspelen,1,27852.0,3.6,,,2020-03-26T14:00:00
NL,Noord-Beveland,2,7308.0,27.4,,,2020-03-26T14:00:00
NL,Delfzijl,2,24716.0,8.1,,,2020-03-26T14:00:00
NL,Rozendaal,2,1654.0,120.9,,,2020-03-26T14:00:00
NL,Midden-Delfland,2,19391.0,10.3,,,2020-03-26T14:00:00
NL,Pekela,2,12214.0,16.4,,,2020-03-26T14:00:00
NL,Kapelle,2,12785.0,15.6,,,2020-03-26T14:00:00
NL,Berkelland,2,43904.0,4.6,,,2020-03-26T14:00:00
NL,Midden-Drenthe,2,33178.0,6.0,,,2020-03-26T14:00:00
NL,Aalten,2,27011.0,7.4,,,2020-03-26T14:00:00
NL,Winterswijk,2,28903.0,6.9,,,2020-03-26T14:00:00
NL,Brielle,2,17182.0,11.6,,,2020-03-26T14:00:00
NL,Opmeer,2,11779.0,17.0,,,2020-03-26T14:00:00
NL,Tytsjerksteradiel,2,31780.0,6.3,,,2020-03-26T14:00:00
NL,Wierden,2,24351.0,8.2,,,2020-03-26T14:00:00
NL,Weststellingwerf,2,25840.0,7.7,,,2020-03-26T14:00:00
NL,Baarle-Nassau,2,6847.0,29.2,,,2020-03-26T14:00:00
NL,Rhenen,2,20004.0,10.0,,,2020-03-26T14:00:00
NL,Westervoort,2,14944.0,13.4,,,2020-03-26T14:00:00
NL,Westerveld,2,19348.0,10.3,,,2020-03-26T14:00:00
NL,Waadhoeke,2,46039.0,4.3,,,2020-03-26T14:00:00
NL,Beemster,2,9748.0,20.5,,,2020-03-26T14:00:00
NL,Lisse,2,22800.0,8.8,,,2020-03-26T14:00:00
NL,Noordenveld,3,31290.0,9.6,,,2020-03-26T14:00:00
NL,Meppel,3,33564.0,8.9,,,2020-03-26T14:00:00
NL,Bunschoten,3,21576.0,13.9,,,2020-03-26T14:00:00
NL,Noardeast-Fryslân,3,45181.0,6.6,,,2020-03-26T14:00:00
NL,Duiven,3,25332.0,11.8,,,2020-03-26T14:00:00
NL,Hillegom,3,21966.0,13.7,,,2020-03-26T14:00:00
NL,Harlingen,3,15758.0,19.0,,,2020-03-26T14:00:00
NL,Aa en Hunze,3,25386.0,11.8,,,2020-03-26T14:00:00
NL,Westerwolde,3,25199.0,11.9,,,2020-03-26T14:00:00
NL,Twenterand,3,33792.0,8.9,,,2020-03-26T14:00:00
NL,Texel,3,13547.0,22.1,,,2020-03-26T14:00:00
NL,De Wolden,3,24110.0,12.4,,,2020-03-26T14:00:00
NL,Scherpenzeel,3,9873.0,30.4,,,2020-03-26T14:00:00
NL,Leiderdorp,4,27109.0,14.8,,,2020-03-26T14:00:00
NL,Drechterland,4,19597.0,20.4,,,2020-03-26T14:00:00
NL,Montferland,4,36026.0,11.1,,,2020-03-26T14:00:00
NL,Wijdemeren,4,24013.0,16.7,,,2020-03-26T14:00:00
NL,Haaksbergen,4,24277.0,16.5,,,2020-03-26T14:00:00
NL,Staphorst,4,17003.0,23.5,,,2020-03-26T14:00:00
