country,lau,cases,population,cases/100k pop.,datetime
NL,Westerwolde,0,25199,0.0,2020-03-24T14:00:00
NL,Dantumadiel,0,18923,0.0,2020-03-24T14:00:00
NL,Hulst,0,27524,0.0,2020-03-24T14:00:00
NL,Loppersum,0,9614,0.0,2020-03-24T14:00:00
NL,Appingedam,0,11721,0.0,2020-03-24T14:00:00
NL,Oldambt,0,38129,0.0,2020-03-24T14:00:00
NL,Ooststellingwerf,0,25497,0.0,2020-03-24T14:00:00
NL,Borger-Odoorn,0,25372,0.0,2020-03-24T14:00:00
NL,Renswoude,0,5259,0.0,2020-03-24T14:00:00
NL,Ameland,0,3673,0.0,2020-03-24T14:00:00
NL,Opmeer,0,11779,0.0,2020-03-24T14:00:00
NL,Stadskanaal,0,31789,0.0,2020-03-24T14:00:00
NL,Terschelling,0,4890,0.0,2020-03-24T14:00:00
NL,Wierden,0,24351,0.0,2020-03-24T14:00:00
NL,Waadhoeke,0,46039,0.0,2020-03-24T14:00:00
NL,Achtkarspelen,0,27852,0.0,2020-03-24T14:00:00
NL,Schiermonnikoog,0,936,0.0,2020-03-24T14:00:00
NL,Vlieland,0,1138,0.0,2020-03-24T14:00:00
NL,Veendam,0,27491,0.0,2020-03-24T14:00:00
NL,Wijdemeren,1,24013,4.2,2020-03-24T14:00:00
NL,Brielle,1,17182,5.8,2020-03-24T14:00:00
NL,Bunschoten,1,21576,4.6,2020-03-24T14:00:00
NL,Delfzijl,1,24716,4.0,2020-03-24T14:00:00
NL,Eemnes,1,9113,11.0,2020-03-24T14:00:00
NL,Het Hogeland,1,47888,2.1,2020-03-24T14:00:00
NL,Midden-Drenthe,1,33178,3.0,2020-03-24T14:00:00
NL,Noord-Beveland,1,7308,13.7,2020-03-24T14:00:00
NL,Noordenveld,1,31290,3.2,2020-03-24T14:00:00
NL,Weststellingwerf,1,25840,3.9,2020-03-24T14:00:00
NL,Tytsjerksteradiel,1,31780,3.1,2020-03-24T14:00:00
NL,Reusel-De Mierden,1,13060,7.7,2020-03-24T14:00:00
NL,Rhenen,1,20004,5.0,2020-03-24T14:00:00
NL,Losser,1,22622,4.4,2020-03-24T14:00:00
NL,Zoeterwoude,1,8450,11.8,2020-03-24T14:00:00
NL,Lisse,1,22800,4.4,2020-03-24T14:00:00
NL,Aa en Hunze,1,25386,3.9,2020-03-24T14:00:00
NL,Aalten,1,27011,3.7,2020-03-24T14:00:00
NL,Beemster,1,9748,10.3,2020-03-24T14:00:00
NL,Bergen (L),1,13140,7.6,2020-03-24T14:00:00
NL,Baarle-Nassau,1,6847,14.6,2020-03-24T14:00:00
NL,Baarn,2,24767,8.1,2020-03-24T14:00:00
NL,Hattem,2,12173,16.4,2020-03-24T14:00:00
NL,Hendrik-Ido-Ambacht,2,30966,6.5,2020-03-24T14:00:00
NL,Kapelle,2,12785,15.6,2020-03-24T14:00:00
NL,Scherpenzeel,2,9873,20.3,2020-03-24T14:00:00
NL,Rozendaal,2,1654,120.9,2020-03-24T14:00:00
NL,Duiven,2,25332,7.9,2020-03-24T14:00:00
