country,nuts_2,lau,cases,population,deaths,hospitalized,datetime
NL,Noord-Holland,Castricum,2778,,22,25,2021-04-22T10:00:00
NL,Overijssel,Dalfsen,1996,,20,25,2021-04-22T10:00:00
NL,Limburg,Simpelveld,736,,7,26,2021-04-22T10:00:00
NL,Gelderland,Heumen,1193,,17,26,2021-04-22T10:00:00
NL,Drenthe,Borger-Odoorn,1357,,15,26,2021-04-22T10:00:00
NL,Gelderland,Aalten,2153,,21,26,2021-04-22T10:00:00
NL,Gelderland,Duiven,1740,,13,27,2021-04-22T10:00:00
NL,Noord-Brabant,Sint Anthonis,1008,,11,27,2021-04-22T10:00:00
NL,Fryslân,Waadhoeke,2627,,35,27,2021-04-22T10:00:00
NL,Limburg,Beek,1194,,12,27,2021-04-22T10:00:00
NL,Limburg,Beesel,1202,,12,27,2021-04-22T10:00:00
NL,Zeeland,Veere,1212,,7,27,2021-04-22T10:00:00
NL,Zuid-Holland,Lisse,1840,,17,27,2021-04-22T10:00:00
NL,Drenthe,Noordenveld,1460,,25,27,2021-04-22T10:00:00
NL,Noord-Brabant,Bergeijk,2033,,10,28,2021-04-22T10:00:00
NL,Noord-Brabant,Geertruidenberg,1895,,25,28,2021-04-22T10:00:00
NL,Overijssel,Steenwijkerland,2755,,25,28,2021-04-22T10:00:00
NL,Limburg,Gennep,1563,,19,28,2021-04-22T10:00:00
NL,Noord-Brabant,Oirschot,2027,,26,28,2021-04-22T10:00:00
NL,Drenthe,Meppel,2066,,25,28,2021-04-22T10:00:00
NL,Groningen,Het Hogeland,2997,,20,29,2021-04-22T10:00:00
NL,Noord-Brabant,,1081,,6,29,2021-04-22T10:00:00
NL,Noord-Holland,Stede Broec,2429,,15,29,2021-04-22T10:00:00
NL,Zuid-Holland,Sliedrecht,2985,,41,29,2021-04-22T10:00:00
NL,Overijssel,Borne,2149,,37,29,2021-04-22T10:00:00
NL,Gelderland,Voorst,1634,,28,30,2021-04-22T10:00:00
NL,Noord-Holland,Enkhuizen,1807,,11,30,2021-04-22T10:00:00
NL,Drenthe,De Wolden,1628,,23,30,2021-04-22T10:00:00
NL,Zuid-Holland,Brielle,1378,,9,30,2021-04-22T10:00:00
NL,Noord-Brabant,Grave,1255,,24,30,2021-04-22T10:00:00
NL,Limburg,Gulpen-Wittem,1013,,19,30,2021-04-22T10:00:00
NL,Fryslân,Heerenveen,2346,,37,30,2021-04-22T10:00:00
NL,Gelderland,Oost Gelre,2445,,38,31,2021-04-22T10:00:00
NL,Noord-Holland,Langedijk,2268,,13,31,2021-04-22T10:00:00
NL,Noord-Brabant,Steenbergen,1968,,19,31,2021-04-22T10:00:00
NL,Noord-Brabant,"Nuenen, Gerwen en Nederwetten",1849,,21,31,2021-04-22T10:00:00
NL,Overijssel,Hof van Twente,3087,,29,32,2021-04-22T10:00:00
NL,Drenthe,Midden-Drenthe,1809,,28,32,2021-04-22T10:00:00
NL,Noord-Brabant,Asten,1415,,17,32,2021-04-22T10:00:00
NL,Fryslân,Smallingerland,2925,,33,32,2021-04-22T10:00:00
NL,Overijssel,Haaksbergen,2355,,32,32,2021-04-22T10:00:00
NL,Gelderland,Brummen,1220,,17,32,2021-04-22T10:00:00
NL,Limburg,Valkenburg aan de Geul,1104,,22,32,2021-04-22T10:00:00
