country,lau,cases,population,cases/100k pop.,deaths,hospitalized,datetime
NL,Terschelling,0,4889.0,0.0,,,2020-03-29T14:00:00
NL,Vlieland,0,1152.0,0.0,,,2020-03-29T14:00:00
NL,Ameland,0,3718.0,0.0,,,2020-03-29T14:00:00
NL,Schiermonnikoog,0,947.0,0.0,,,2020-03-29T14:00:00
NL,Stadskanaal,1,31688.0,3.2,,,2020-03-29T14:00:00
NL,Appingedam,1,11644.0,8.6,,,2020-03-29T14:00:00
NL,Ooststellingwerf,1,25472.0,3.9,,,2020-03-29T14:00:00
NL,Renswoude,1,5448.0,18.4,,,2020-03-29T14:00:00
NL,Loppersum,1,9533.0,10.5,,,2020-03-29T14:00:00
NL,Eemnes,1,9247.0,10.8,,,2020-03-29T14:00:00
NL,Veendam,2,27387.0,7.3,,,2020-03-29T14:00:00
NL,Noord-Beveland,2,7395.0,27.0,,,2020-03-29T14:00:00
NL,Rozendaal,2,1705.0,117.3,,,2020-03-29T14:00:00
NL,Oldambt,2,38213.0,5.2,,,2020-03-29T14:00:00
NL,Kapelle,2,12691.0,15.8,,,2020-03-29T14:00:00
NL,Borger-Odoorn,2,25558.0,7.8,,,2020-03-29T14:00:00
NL,Achtkarspelen,2,27836.0,7.2,,,2020-03-29T14:00:00
NL,Pekela,2,12199.0,16.4,,,2020-03-29T14:00:00
NL,Bergen (L.),2,13085.0,15.3,,,2020-03-29T14:00:00
NL,Zoeterwoude,3,8611.0,34.8,,,2020-03-29T14:00:00
NL,Opmeer,3,11837.0,25.3,,,2020-03-29T14:00:00
NL,Texel,3,13573.0,22.1,,,2020-03-29T14:00:00
NL,Dantumadiel,3,18916.0,15.9,,,2020-03-29T14:00:00
NL,Losser,3,22685.0,13.2,,,2020-03-29T14:00:00
NL,Baarle-Nassau,3,6860.0,43.7,,,2020-03-29T14:00:00
NL,Weststellingwerf,3,25916.0,11.6,,,2020-03-29T14:00:00
NL,Hulst,3,27556.0,10.9,,,2020-03-29T14:00:00
NL,Harlingen,4,15720.0,25.4,,,2020-03-29T14:00:00
NL,Midden-Delfland,4,19344.0,20.7,,,2020-03-29T14:00:00
NL,Tytsjerksteradiel,4,32046.0,12.5,,,2020-03-29T14:00:00
NL,Bunschoten,4,21867.0,18.3,,,2020-03-29T14:00:00
NL,Beemster,4,10025.0,39.9,,,2020-03-29T14:00:00
NL,Scherpenzeel,4,9880.0,40.5,,,2020-03-29T14:00:00
NL,Lisse,4,22957.0,17.4,,,2020-03-29T14:00:00
NL,Westervoort,4,14973.0,26.7,,,2020-03-29T14:00:00
NL,Westerwolde,4,25796.0,15.5,,,2020-03-29T14:00:00
NL,Winterswijk,4,28865.0,13.9,,,2020-03-29T14:00:00
NL,Aa en Hunze,4,25453.0,15.7,,,2020-03-29T14:00:00
NL,Midden-Drenthe,5,33182.0,15.1,,,2020-03-29T14:00:00
NL,Hillegom,5,22208.0,22.5,,,2020-03-29T14:00:00
NL,Noordenveld,5,31242.0,16.0,,,2020-03-29T14:00:00
NL,Berkelland,5,43748.0,11.4,,,2020-03-29T14:00:00
NL,Staphorst,5,17144.0,29.2,,,2020-03-29T14:00:00
NL,Aalten,5,27117.0,18.4,,,2020-03-29T14:00:00
NL,Wijdemeren,5,24360.0,20.5,,,2020-03-29T14:00:00
NL,Westerveld,5,19460.0,25.7,,,2020-03-29T14:00:00
NL,Drechterland,5,19717.0,25.4,,,2020-03-29T14:00:00
NL,Woensdrecht,6,21883.0,27.4,,,2020-03-29T14:00:00
