country,nuts_2,lau,cases,population,deaths,hospitalized,datetime
NL,Friesland,Ameland,47,,0,0,2020-11-29T10:00:00
NL,Friesland,Vlieland,19,,0,0,2020-11-29T10:00:00
NL,Friesland,Achtkarspelen,287,,0,0,2020-11-29T10:00:00
NL,Drenthe,,11,,0,0,2020-11-29T10:00:00
NL,Drenthe,Aa en Hunze,307,,1,1,2020-11-29T10:00:00
NL,Friesland,Schiermonnikoog,4,,0,1,2020-11-29T10:00:00
NL,Groningen,,15,,0,1,2020-11-29T10:00:00
NL,Friesland,,12,,0,1,2020-11-29T10:00:00
NL,Friesland,Terschelling,71,,1,1,2020-11-29T10:00:00
NL,Flevoland,,12,,0,1,2020-11-29T10:00:00
NL,Groningen,Loppersum,87,,0,1,2020-11-29T10:00:00
NL,Gelderland,Rozendaal,26,,0,1,2020-11-29T10:00:00
NL,Zuid-Holland,Hardinxveld-Giessendam,666,,7,2,2020-11-29T10:00:00
NL,Friesland,Dantumadiel,202,,0,2,2020-11-29T10:00:00
NL,Zeeland,,11,,1,2,2020-11-29T10:00:00
NL,Noord-Holland,Opmeer,243,,2,3,2020-11-29T10:00:00
NL,Zeeland,Noord-Beveland,102,,1,3,2020-11-29T10:00:00
NL,Zeeland,Kapelle,131,,1,4,2020-11-29T10:00:00
NL,Utrecht,Eemnes,259,,1,4,2020-11-29T10:00:00
NL,Zuid-Holland,Zoeterwoude,254,,1,4,2020-11-29T10:00:00
NL,Noord-Holland,Beemster,212,,2,4,2020-11-29T10:00:00
NL,Groningen,Veendam,267,,1,4,2020-11-29T10:00:00
NL,Overijssel,,338,,3,4,2020-11-29T10:00:00
NL,Gelderland,Scherpenzeel,248,,2,5,2020-11-29T10:00:00
NL,Friesland,Harlingen,145,,2,5,2020-11-29T10:00:00
NL,Utrecht,Renswoude,125,,5,5,2020-11-29T10:00:00
NL,Friesland,Weststellingwerf,365,,10,5,2020-11-29T10:00:00
NL,Noord-Holland,Landsmeer,365,,3,6,2020-11-29T10:00:00
NL,Zeeland,Borsele,266,,2,6,2020-11-29T10:00:00
NL,Noord-Holland,Texel,118,,2,6,2020-11-29T10:00:00
NL,Utrecht,,79,,1,6,2020-11-29T10:00:00
