country,nuts_2,lau,cases,population,deaths,hospitalized,datetime
NL,Groningen,Groningen,109563,,80,9999,2022-11-15T10:00:00
NL,Limburg,Meerssen,9448,,45,9999,2022-11-15T10:00:00
NL,Limburg,Maastricht,58006,,268,9999,2022-11-15T10:00:00
NL,Limburg,Kerkrade,20330,,118,9999,2022-11-15T10:00:00
NL,Limburg,Heerlen,41057,,173,9999,2022-11-15T10:00:00
NL,Limburg,Gennep,9314,,33,9999,2022-11-15T10:00:00
NL,Limburg,Brunssum,13969,,73,9999,2022-11-15T10:00:00
NL,Limburg,Bergen (L.),6843,,20,9999,2022-11-15T10:00:00
NL,Limburg,Beesel,6667,,15,9999,2022-11-15T10:00:00
NL,Limburg,Mook en Middelaar,3727,,13,9999,2022-11-15T10:00:00
NL,Limburg,Beek,8194,,17,9999,2022-11-15T10:00:00
NL,Noord-Holland,Wormerland,7467,,38,9999,2022-11-15T10:00:00
NL,Noord-Brabant,Zundert,9510,,19,9999,2022-11-15T10:00:00
NL,Noord-Brabant,Woensdrecht,9090,,27,9999,2022-11-15T10:00:00
NL,Noord-Brabant,Waalwijk,23557,,85,9999,2022-11-15T10:00:00
NL,Noord-Brabant,Waalre,8471,,20,9999,2022-11-15T10:00:00
NL,Noord-Brabant,Vught,16339,,59,9999,2022-11-15T10:00:00
NL,Noord-Brabant,Veldhoven,22504,,57,9999,2022-11-15T10:00:00
NL,Noord-Brabant,Valkenswaard,15160,,78,9999,2022-11-15T10:00:00
NL,Limburg,Landgraaf,18263,,102,9999,2022-11-15T10:00:00
NL,Noord-Brabant,Tilburg,115181,,309,9999,2022-11-15T10:00:00
NL,Limburg,Nederweert,9000,,30,9999,2022-11-15T10:00:00
NL,Limburg,Simpelveld,4884,,16,9999,2022-11-15T10:00:00
NL,Noord-Brabant,Gemert-Bakel,14726,,48,9999,2022-11-15T10:00:00
NL,Limburg,Maasgouw,11828,,46,9999,2022-11-15T10:00:00
NL,Limburg,Leudal,16753,,61,9999,2022-11-15T10:00:00
NL,Zuid-Holland,Lansingerland,32963,,80,9999,2022-11-15T10:00:00
NL,Noord-Holland,Koggenland,11161,,26,9999,2022-11-15T10:00:00
NL,Gelderland,Oost Gelre,15712,,57,9999,2022-11-15T10:00:00
NL,Utrecht,Utrechtse Heuvelrug,22469,,93,9999,2022-11-15T10:00:00
NL,Zuid-Holland,Teylingen,18745,,28,9999,2022-11-15T10:00:00
NL,Limburg,Roermond,28663,,83,9999,2022-11-15T10:00:00
NL,Gelderland,Oude IJsselstreek,19537,,59,9999,2022-11-15T10:00:00
NL,Flevoland,Lelystad,34664,,92,9999,2022-11-15T10:00:00
NL,Limburg,Valkenburg aan de Geul,7519,,36,9999,2022-11-15T10:00:00
NL,Limburg,Weert,25649,,106,9999,2022-11-15T10:00:00
