country,lau,cases,population,cases/100k pop.,datetime
NL,Lisse,0,22800,0.0,2020-03-17T14:00:00
NL,Olst-Wijhe,0,18071,0.0,2020-03-17T14:00:00
NL,Oldambt,0,38129,0.0,2020-03-17T14:00:00
NL,Noord-Beveland,0,7308,0.0,2020-03-17T14:00:00
NL,Noardeast-Fryslân,0,45181,0.0,2020-03-17T14:00:00
NL,Mook en Middelaar,0,7806,0.0,2020-03-17T14:00:00
NL,Montfoort,0,13996,0.0,2020-03-17T14:00:00
NL,Montferland,0,36026,0.0,2020-03-17T14:00:00
NL,Midden-Drenthe,0,33178,0.0,2020-03-17T14:00:00
NL,Midden-Delfland,0,19391,0.0,2020-03-17T14:00:00
NL,Meppel,0,33564,0.0,2020-03-17T14:00:00
NL,Medemblik,0,44809,0.0,2020-03-17T14:00:00
NL,Losser,0,22622,0.0,2020-03-17T14:00:00
NL,Loppersum,0,9614,0.0,2020-03-17T14:00:00
NL,Lochem,0,33590,0.0,2020-03-17T14:00:00
NL,Kaag en Braassem,0,26866,0.0,2020-03-17T14:00:00
NL,Hulst,0,27524,0.0,2020-03-17T14:00:00
NL,Hollands Kroon,0,47815,0.0,2020-03-17T14:00:00
NL,Drechterland,0,19597,0.0,2020-03-17T14:00:00
NL,Edam-Volendam,0,36099,0.0,2020-03-17T14:00:00
NL,Eemnes,0,9113,0.0,2020-03-17T14:00:00
NL,Zoeterwoude,0,8450,0.0,2020-03-17T14:00:00
NL,Zoetermeer,0,124944,0.0,2020-03-17T14:00:00
NL,Gorinchem,0,36682,0.0,2020-03-17T14:00:00
NL,Oost Gelre,0,29704,0.0,2020-03-17T14:00:00
NL,Grave,0,12483,0.0,2020-03-17T14:00:00
NL,Hattem,0,12173,0.0,2020-03-17T14:00:00
NL,Heerenveen,0,50257,0.0,2020-03-17T14:00:00
NL,Zevenaar,0,43488,0.0,2020-03-17T14:00:00
NL,Hendrik-Ido-Ambacht,0,30966,0.0,2020-03-17T14:00:00
NL,Het Hogeland,0,47888,0.0,2020-03-17T14:00:00
NL,Hillegom,0,21966,0.0,2020-03-17T14:00:00
NL,Hardenberg,0,60574,0.0,2020-03-17T14:00:00
