country,nuts_2,lau,cases,population,deaths,hospitalized,datetime
NL,Groningen,Groningen,103235,,73,9999,2022-04-21T10:00:00
NL,Limburg,Maastricht,54357,,264,9999,2022-04-21T10:00:00
NL,Limburg,Kerkrade,19115,,116,9999,2022-04-21T10:00:00
NL,Limburg,Heerlen,38136,,168,9999,2022-04-21T10:00:00
NL,Limburg,Gennep,8811,,32,9999,2022-04-21T10:00:00
NL,Limburg,Brunssum,12963,,72,9999,2022-04-21T10:00:00
NL,Limburg,Bergen (L.),6517,,20,9999,2022-04-21T10:00:00
NL,Limburg,Beesel,6347,,15,9999,2022-04-21T10:00:00
NL,Limburg,Beek,7530,,16,9999,2022-04-21T10:00:00
NL,Limburg,Meerssen,8732,,43,9999,2022-04-21T10:00:00
NL,Limburg,Landgraaf,17054,,102,9999,2022-04-21T10:00:00
NL,Noord-Brabant,Zundert,9015,,19,9999,2022-04-21T10:00:00
NL,Noord-Brabant,Woensdrecht,8652,,26,9999,2022-04-21T10:00:00
NL,Noord-Brabant,Waalwijk,22294,,84,9999,2022-04-21T10:00:00
NL,Noord-Brabant,Waalre,8004,,18,9999,2022-04-21T10:00:00
NL,Noord-Brabant,Vught,15542,,58,9999,2022-04-21T10:00:00
NL,Noord-Brabant,Veldhoven,21375,,56,9999,2022-04-21T10:00:00
NL,Noord-Brabant,Valkenswaard,14467,,77,9999,2022-04-21T10:00:00
NL,Noord-Brabant,Tilburg,108414,,307,9999,2022-04-21T10:00:00
NL,Noord-Holland,Wormerland,6996,,38,9999,2022-04-21T10:00:00
NL,Noord-Holland,Waterland,7627,,18,9999,2022-04-21T10:00:00
NL,Limburg,Mook en Middelaar,3413,,13,9999,2022-04-21T10:00:00
NL,Limburg,Roermond,26915,,81,9999,2022-04-21T10:00:00
NL,Limburg,Maasgouw,10858,,45,9999,2022-04-21T10:00:00
NL,Limburg,Leudal,15931,,61,9999,2022-04-21T10:00:00
NL,Zuid-Holland,Lansingerland,30881,,78,9999,2022-04-21T10:00:00
NL,Noord-Holland,Koggenland,10636,,26,9999,2022-04-21T10:00:00
NL,Gelderland,Oost Gelre,14916,,50,9999,2022-04-21T10:00:00
NL,Utrecht,Utrechtse Heuvelrug,21114,,92,9999,2022-04-21T10:00:00
NL,Zuid-Holland,Teylingen,17727,,28,9999,2022-04-21T10:00:00
