country,lau,cases,population,cases/100k pop.,datetime
NL,Dongen,2,26051,7.7,2020-03-21T14:00:00
NL,Waalre,2,17247,11.6,2020-03-21T14:00:00
NL,Wageningen,3,38774,7.7,2020-03-21T14:00:00
NL,Huizen,3,41273,7.3,2020-03-21T14:00:00
NL,Westerkwartier,3,63031,4.8,2020-03-21T14:00:00
NL,Hellendoorn,3,35808,8.4,2020-03-21T14:00:00
NL,Westvoorne,3,14626,20.5,2020-03-21T14:00:00
NL,Tubbergen,3,21276,14.1,2020-03-21T14:00:00
NL,Texel,3,13547,22.1,2020-03-21T14:00:00
NL,Sluis,3,23386,12.8,2020-03-21T14:00:00
NL,Staphorst,3,17003,17.6,2020-03-21T14:00:00
NL,Smallingerland,3,55938,5.4,2020-03-21T14:00:00
NL,Sliedrecht,3,25026,12.0,2020-03-21T14:00:00
NL,Schouwen-Duiveland,3,33779,8.9,2020-03-21T14:00:00
NL,Maassluis,3,32768,9.2,2020-03-21T14:00:00
NL,Rijssen-Holten,3,38300,7.8,2020-03-21T14:00:00
NL,Raalte,3,37511,8.0,2020-03-21T14:00:00
NL,Putten,3,24198,12.4,2020-03-21T14:00:00
NL,Oudewater,3,10201,29.4,2020-03-21T14:00:00
NL,Oostzaan,3,9757,30.7,2020-03-21T14:00:00
NL,Noordwijk,3,42859,7.0,2020-03-21T14:00:00
NL,Moerdijk,3,36961,8.1,2020-03-21T14:00:00
NL,Noordoostpolder,3,46849,6.4,2020-03-21T14:00:00
NL,Steenwijkerland,3,43940,6.8,2020-03-21T14:00:00
NL,Harlingen,3,15758,19.0,2020-03-21T14:00:00
NL,Woudenberg,3,13166,22.8,2020-03-21T14:00:00
NL,Bodegraven-Reeuwijk,3,34462,8.7,2020-03-21T14:00:00
NL,Capelle aan den IJssel,3,66818,4.5,2020-03-21T14:00:00
NL,Goes,3,37653,8.0,2020-03-21T14:00:00
NL,De Ronde Venen,3,44059,6.8,2020-03-21T14:00:00
NL,De Wolden,3,24110,12.4,2020-03-21T14:00:00
NL,Bunnik,3,15192,19.7,2020-03-21T14:00:00
NL,Diemen,3,29196,10.3,2020-03-21T14:00:00
NL,Den Helder,3,55604,5.4,2020-03-21T14:00:00
NL,Hardenberg,3,60574,5.0,2020-03-21T14:00:00
NL,Borsele,3,22800,13.2,2020-03-21T14:00:00
NL,Alblasserdam,3,20069,14.9,2020-03-21T14:00:00
