country,lau,cases,population,cases/100k pop.,deaths,hospitalized,datetime
NL,Terschelling,0,4889.0,0.0,,,2020-03-30T14:00:00
NL,Vlieland,0,1152.0,0.0,,,2020-03-30T14:00:00
NL,Schiermonnikoog,0,947.0,0.0,,,2020-03-30T14:00:00
NL,Ameland,0,3718.0,0.0,,,2020-03-30T14:00:00
NL,Stadskanaal,1,31688.0,3.2,,,2020-03-30T14:00:00
NL,Loppersum,1,9533.0,10.5,,,2020-03-30T14:00:00
NL,Renswoude,1,5448.0,18.4,,,2020-03-30T14:00:00
NL,Ooststellingwerf,1,25472.0,3.9,,,2020-03-30T14:00:00
NL,Appingedam,1,11644.0,8.6,,,2020-03-30T14:00:00
NL,Kapelle,2,12691.0,15.8,,,2020-03-30T14:00:00
NL,Borger-Odoorn,2,25558.0,7.8,,,2020-03-30T14:00:00
NL,Veendam,2,27387.0,7.3,,,2020-03-30T14:00:00
NL,Rozendaal,2,1705.0,117.3,,,2020-03-30T14:00:00
NL,Eemnes,2,9247.0,21.6,,,2020-03-30T14:00:00
NL,Noord-Beveland,2,7395.0,27.0,,,2020-03-30T14:00:00
NL,Oldambt,2,38213.0,5.2,,,2020-03-30T14:00:00
NL,Achtkarspelen,2,27836.0,7.2,,,2020-03-30T14:00:00
NL,Texel,3,13573.0,22.1,,,2020-03-30T14:00:00
NL,Weststellingwerf,3,25916.0,11.6,,,2020-03-30T14:00:00
NL,Dantumadiel,3,18916.0,15.9,,,2020-03-30T14:00:00
NL,Baarle-Nassau,3,6860.0,43.7,,,2020-03-30T14:00:00
NL,Losser,3,22685.0,13.2,,,2020-03-30T14:00:00
NL,Opmeer,3,11837.0,25.3,,,2020-03-30T14:00:00
NL,Zoeterwoude,3,8611.0,34.8,,,2020-03-30T14:00:00
NL,Pekela,3,12199.0,24.6,,,2020-03-30T14:00:00
NL,Bergen (L.),4,13085.0,30.6,,,2020-03-30T14:00:00
NL,Lisse,4,22957.0,17.4,,,2020-03-30T14:00:00
NL,Scherpenzeel,4,9880.0,40.5,,,2020-03-30T14:00:00
NL,Winterswijk,4,28865.0,13.9,,,2020-03-30T14:00:00
NL,Westerwolde,4,25796.0,15.5,,,2020-03-30T14:00:00
NL,Tytsjerksteradiel,4,32046.0,12.5,,,2020-03-30T14:00:00
NL,Harlingen,4,15720.0,25.4,,,2020-03-30T14:00:00
NL,Midden-Delfland,4,19344.0,20.7,,,2020-03-30T14:00:00
NL,Westervoort,5,14973.0,33.4,,,2020-03-30T14:00:00
NL,Midden-Drenthe,5,33182.0,15.1,,,2020-03-30T14:00:00
NL,Aa en Hunze,5,25453.0,19.6,,,2020-03-30T14:00:00
NL,Berkelland,5,43748.0,11.4,,,2020-03-30T14:00:00
NL,Noordenveld,5,31242.0,16.0,,,2020-03-30T14:00:00
NL,Wijdemeren,5,24360.0,20.5,,,2020-03-30T14:00:00
NL,Aalten,5,27117.0,18.4,,,2020-03-30T14:00:00
NL,Hulst,6,27556.0,21.8,,,2020-03-30T14:00:00
NL,Staphorst,6,17144.0,35.0,,,2020-03-30T14:00:00
NL,Hillegom,6,22208.0,27.0,,,2020-03-30T14:00:00
NL,Bunschoten,6,21867.0,27.4,,,2020-03-30T14:00:00
NL,Hendrik-Ido-Ambacht,6,31204.0,19.2,,,2020-03-30T14:00:00
NL,Rhenen,6,20125.0,29.8,,,2020-03-30T14:00:00
NL,Putten,6,24113.0,24.9,,,2020-03-30T14:00:00
NL,Noardeast-Fryslân,6,45251.0,13.3,,,2020-03-30T14:00:00
NL,Sluis,6,23217.0,25.8,,,2020-03-30T14:00:00
NL,Doesburg,6,11078.0,54.2,,,2020-03-30T14:00:00
NL,Blaricum,6,11536.0,52.0,,,2020-03-30T14:00:00
NL,Beemster,6,10025.0,59.9,,,2020-03-30T14:00:00
NL,Westerveld,6,19460.0,30.8,,,2020-03-30T14:00:00
NL,Woensdrecht,6,21883.0,27.4,,,2020-03-30T14:00:00
NL,Wassenaar,6,26214.0,22.9,,,2020-03-30T14:00:00
NL,Waadhoeke,6,46079.0,13.0,,,2020-03-30T14:00:00
NL,Borsele,7,22738.0,30.8,,,2020-03-30T14:00:00
NL,Drechterland,7,19717.0,35.5,,,2020-03-30T14:00:00
NL,Duiven,7,25124.0,27.9,,,2020-03-30T14:00:00
NL,Reusel-De Mierden,7,13110.0,53.4,,,2020-03-30T14:00:00
NL,Reimerswaal,7,22728.0,30.8,,,2020-03-30T14:00:00
NL,Sliedrecht,7,25217.0,27.8,,,2020-03-30T14:00:00
NL,Papendrecht,7,32133.0,21.8,,,2020-03-30T14:00:00
NL,Delfzijl,7,24666.0,28.4,,,2020-03-30T14:00:00
NL,De Wolden,7,24327.0,28.8,,,2020-03-30T14:00:00
NL,Opsterland,7,29742.0,23.5,,,2020-03-30T14:00:00
NL,Baarn,7,24873.0,28.1,,,2020-03-30T14:00:00
NL,Alblasserdam,7,20165.0,34.7,,,2020-03-30T14:00:00
NL,Leiderdorp,7,27059.0,25.9,,,2020-03-30T14:00:00
NL,Woudenberg,8,13362.0,59.9,,,2020-03-30T14:00:00
NL,Voorschoten,8,25603.0,31.2,,,2020-03-30T14:00:00
NL,Landsmeer,8,11492.0,69.6,,,2020-03-30T14:00:00
NL,Twenterand,8,33743.0,23.7,,,2020-03-30T14:00:00
NL,Laren,8,11274.0,71.0,,,2020-03-30T14:00:00
NL,Meppel,8,33902.0,23.6,,,2020-03-30T14:00:00
NL,Midden-Groningen,8,60804.0,13.2,,,2020-03-30T14:00:00
NL,Waalre,8,17454.0,45.8,,,2020-03-30T14:00:00
NL,Kaag en Braassem,8,27300.0,29.3,,,2020-03-30T14:00:00
NL,Mook en Middelaar,8,7847.0,101.9,,,2020-03-30T14:00:00
NL,Wageningen,8,39673.0,20.2,,,2020-03-30T14:00:00
NL,Brummen,8,20756.0,38.5,,,2020-03-30T14:00:00
NL,Oostzaan,8,9733.0,82.2,,,2020-03-30T14:00:00
NL,Olst-Wijhe,9,18251.0,49.3,,,2020-03-30T14:00:00
NL,Uitgeest,9,13649.0,65.9,,,2020-03-30T14:00:00
NL,Waddinxveen,9,29293.0,30.7,,,2020-03-30T14:00:00
NL,Zeewolde,9,22656.0,39.7,,,2020-03-30T14:00:00
