country,lau,cases,population,deaths,hospitalized,datetime
NL,Schiermonnikoog,0,947,,0,2020-04-11T16:45:00
NL,Terschelling,1,4889,,0,2020-04-11T16:45:00
NL,Achtkarspelen,5,27836,,0,2020-04-11T16:45:00
NL,Vlieland,0,1152,,0,2020-04-11T16:45:00
NL,Loppersum,2,9533,,0,2020-04-11T16:45:00
NL,Ameland,0,3718,,0,2020-04-11T16:45:00
NL,Rozendaal,2,1705,,1,2020-04-11T16:45:00
NL,Opmeer,4,11837,,1,2020-04-11T16:45:00
NL,Baarle-Nassau,4,6860,,1,2020-04-11T16:45:00
NL,Ooststellingwerf,2,25472,,1,2020-04-11T16:45:00
NL,Veendam,6,27387,,1,2020-04-11T16:45:00
NL,Noord-Beveland,5,7395,,1,2020-04-11T16:45:00
NL,Hardinxveld-Giessendam,25,18295,,1,2020-04-11T16:45:00
NL,Aa en Hunze,8,25453,,1,2020-04-11T16:45:00
NL,Eemnes,8,9247,,1,2020-04-11T16:45:00
NL,Aalten,21,27117,,1,2020-04-11T16:45:00
NL,Winterswijk,14,28865,,2,2020-04-11T16:45:00
NL,Scherpenzeel,15,9880,,2,2020-04-11T16:45:00
NL,Stadskanaal,3,31688,,2,2020-04-11T16:45:00
NL,Borger-Odoorn,4,25558,,2,2020-04-11T16:45:00
NL,Harlingen,10,15720,,2,2020-04-11T16:45:00
NL,Dantumadiel,6,18916,,2,2020-04-11T16:45:00
NL,Noordenveld,11,31242,,2,2020-04-11T16:45:00
NL,Drechterland,29,19717,,2,2020-04-11T16:45:00
NL,Oldambt,5,38213,,2,2020-04-11T16:45:00
NL,Appingedam,2,11644,,2,2020-04-11T16:45:00
NL,Berkelland,24,43748,,2,2020-04-11T16:45:00
NL,Weststellingwerf,11,25916,,2,2020-04-11T16:45:00
NL,Zoeterwoude,7,8611,,2,2020-04-11T16:45:00
NL,Kapelle,15,12691,,2,2020-04-11T16:45:00
NL,Landsmeer,17,11492,,3,2020-04-11T16:45:00
NL,Rhenen,13,20125,,3,2020-04-11T16:45:00
NL,Midden-Delfland,11,19344,,3,2020-04-11T16:45:00
NL,Putten,14,24113,,3,2020-04-11T16:45:00
NL,Texel,10,13573,,3,2020-04-11T16:45:00
NL,Uitgeest,14,13649,,3,2020-04-11T16:45:00
NL,Reimerswaal,19,22728,,4,2020-04-11T16:45:00
NL,Bronckhorst,24,36052,,4,2020-04-11T16:45:00
NL,Bunschoten,23,21867,,4,2020-04-11T16:45:00
NL,Wierden,29,24440,,4,2020-04-11T16:45:00
NL,Pekela,4,12199,,4,2020-04-11T16:45:00
NL,Borsele,17,22738,,4,2020-04-11T16:45:00
NL,Renswoude,9,5448,,4,2020-04-11T16:45:00
NL,Tytsjerksteradiel,14,32046,,4,2020-04-11T16:45:00
NL,Diemen,20,30781,,4,2020-04-11T16:45:00
NL,Beemster,8,10025,,4,2020-04-11T16:45:00
NL,Mook en Middelaar,22,7847,,4,2020-04-11T16:45:00
NL,Woensdrecht,19,21883,,4,2020-04-11T16:45:00
NL,Doesburg,15,11078,,4,2020-04-11T16:45:00
NL,Lisse,13,22957,,5,2020-04-11T16:45:00
NL,Waalre,20,17454,,5,2020-04-11T16:45:00
NL,Veere,19,21885,,5,2020-04-11T16:45:00
NL,Meppel,24,33902,,5,2020-04-11T16:45:00
NL,Oost Gelre,29,29623,,5,2020-04-11T16:45:00
NL,Noardeast-Fryslân,16,45251,,5,2020-04-11T16:45:00
NL,Westerwolde,5,25796,,5,2020-04-11T16:45:00
NL,Delfzijl,13,24666,,5,2020-04-11T16:45:00
NL,Ouder-Amstel,21,14029,,5,2020-04-11T16:45:00
NL,Bloemendaal,35,23570,,5,2020-04-11T16:45:00
NL,Blaricum,17,11536,,5,2020-04-11T16:45:00
NL,Staphorst,33,17144,,5,2020-04-11T16:45:00
NL,Hendrik-Ido-Ambacht,21,31204,,5,2020-04-11T16:45:00
NL,Opsterland,16,29742,,5,2020-04-11T16:45:00
NL,Koggenland,23,22752,,6,2020-04-11T16:45:00
NL,Kaag en Braassem,14,27300,,6,2020-04-11T16:45:00
NL,Hilvarenbeek,27,15514,,6,2020-04-11T16:45:00
NL,Westvoorne,20,14728,,6,2020-04-11T16:45:00
NL,Losser,15,22685,,6,2020-04-11T16:45:00
NL,Hillegom,19,22208,,6,2020-04-11T16:45:00
NL,Krimpen aan den IJssel,36,29533,,6,2020-04-11T16:45:00
NL,Bergen (L.),10,13085,,6,2020-04-11T16:45:00
NL,Midden-Groningen,18,60804,,6,2020-04-11T16:45:00
NL,Smallingerland,23,56154,,6,2020-04-11T16:45:00
NL,Midden-Drenthe,17,33182,,6,2020-04-11T16:45:00
NL,Oegstgeest,27,24843,,6,2020-04-11T16:45:00
NL,Waadhoeke,53,46079,,6,2020-04-11T16:45:00
NL,Lochem,35,33730,,6,2020-04-11T16:45:00
NL,Westerveld,21,19460,,6,2020-04-11T16:45:00
NL,Sliedrecht,28,25217,,6,2020-04-11T16:45:00
