country,lau,hospitalized,population,hospitalized/100k pop.,deaths,cases,datetime
NL,Schiermonnikoog,947,0.0,0.0,,,2020-03-31T15:36:00
NL,Vlieland,1152,0.0,0.0,,,2020-03-31T15:36:00
NL,Rozendaal,1705,1.0,58.7,,,2020-03-31T15:36:00
NL,Ameland,3718,0.0,0.0,,,2020-03-31T15:36:00
NL,Terschelling,4889,0.0,0.0,,,2020-03-31T15:36:00
NL,Renswoude,5448,1.0,18.4,,,2020-03-31T15:36:00
NL,Baarle-Nassau,6860,1.0,14.6,,,2020-03-31T15:36:00
NL,Noord-Beveland,7395,0.0,0.0,,,2020-03-31T15:36:00
NL,Mook en Middelaar,7847,3.0,38.2,,,2020-03-31T15:36:00
NL,Zoeterwoude,8611,2.0,23.2,,,2020-03-31T15:36:00
NL,Eemnes,9247,1.0,10.8,,,2020-03-31T15:36:00
NL,Loppersum,9533,0.0,0.0,,,2020-03-31T15:36:00
NL,Oostzaan,9733,2.0,20.5,,,2020-03-31T15:36:00
NL,Scherpenzeel,9880,0.0,0.0,,,2020-03-31T15:36:00
NL,Beemster,10025,2.0,20.0,,,2020-03-31T15:36:00
NL,Vaals,10099,2.0,19.8,,,2020-03-31T15:36:00
NL,Alphen-Chaam,10213,9.0,88.1,,,2020-03-31T15:36:00
NL,Oudewater,10226,15.0,146.7,,,2020-03-31T15:36:00
NL,Simpelveld,10552,2.0,19.0,,,2020-03-31T15:36:00
NL,Boekel,10784,21.0,194.7,,,2020-03-31T15:36:00
NL,Mill en Sint Hubert,10941,6.0,54.8,,,2020-03-31T15:36:00
NL,Doesburg,11078,3.0,27.1,,,2020-03-31T15:36:00
NL,Laren,11274,5.0,44.3,,,2020-03-31T15:36:00
NL,Landsmeer,11492,3.0,26.1,,,2020-03-31T15:36:00
NL,Blaricum,11536,1.0,8.7,,,2020-03-31T15:36:00
NL,Appingedam,11644,1.0,8.6,,,2020-03-31T15:36:00
NL,Sint Anthonis,11672,14.0,119.9,,,2020-03-31T15:36:00
NL,Opmeer,11837,1.0,8.4,,,2020-03-31T15:36:00
NL,Pekela,12199,3.0,24.6,,,2020-03-31T15:36:00
NL,Hattem,12213,3.0,24.6,,,2020-03-31T15:36:00
NL,Grave,12437,10.0,80.4,,,2020-03-31T15:36:00
NL,Voerendaal,12471,2.0,16.0,,,2020-03-31T15:36:00
NL,Kapelle,12691,1.0,7.9,,,2020-03-31T15:36:00
NL,Bergen (L.),13085,3.0,22.9,,,2020-03-31T15:36:00
NL,Reusel-De Mierden,13110,1.0,7.6,,,2020-03-31T15:36:00
NL,Woudenberg,13362,2.0,15.0,,,2020-03-31T15:36:00
NL,Beesel,13483,10.0,74.2,,,2020-03-31T15:36:00
NL,Texel,13573,1.0,7.4,,,2020-03-31T15:36:00
NL,Uitgeest,13649,3.0,22.0,,,2020-03-31T15:36:00
NL,Montfoort,13920,9.0,64.7,,,2020-03-31T15:36:00
NL,Ouder-Amstel,14029,3.0,21.4,,,2020-03-31T15:36:00
NL,Gulpen-Wittem,14176,2.0,14.1,,,2020-03-31T15:36:00
NL,Haaren,14371,14.0,97.4,,,2020-03-31T15:36:00
NL,Lopik,14471,11.0,76.0,,,2020-03-31T15:36:00
NL,Westvoorne,14728,4.0,27.2,,,2020-03-31T15:36:00
NL,Westervoort,14973,2.0,13.4,,,2020-03-31T15:36:00
NL,Bunnik,15191,4.0,26.3,,,2020-03-31T15:36:00
NL,Hilvarenbeek,15514,4.0,25.8,,,2020-03-31T15:36:00
NL,Harlingen,15720,1.0,6.4,,,2020-03-31T15:36:00
NL,Landerd,15730,20.0,127.1,,,2020-03-31T15:36:00
NL,Beek,15868,0.0,0.0,,,2020-03-31T15:36:00
NL,Heeze-Leende,16150,5.0,31.0,,,2020-03-31T15:36:00
NL,Wormerland,16299,8.0,49.1,,,2020-03-31T15:36:00
NL,Valkenburg aan de Geul,16360,2.0,12.2,,,2020-03-31T15:36:00
NL,Heumen,16450,7.0,42.6,,,2020-03-31T15:36:00
NL,Asten,16734,4.0,23.9,,,2020-03-31T15:36:00
NL,Gennep,16924,9.0,53.2,,,2020-03-31T15:36:00
NL,Nederweert,17022,22.0,129.2,,,2020-03-31T15:36:00
NL,Zandvoort,17116,4.0,23.4,,,2020-03-31T15:36:00
NL,Staphorst,17144,1.0,5.8,,,2020-03-31T15:36:00
NL,Brielle,17282,5.0,28.9,,,2020-03-31T15:36:00
NL,Son en Breugel,17321,15.0,86.6,,,2020-03-31T15:36:00
NL,Waterland,17422,8.0,45.9,,,2020-03-31T15:36:00
NL,Waalre,17454,0.0,0.0,,,2020-03-31T15:36:00
NL,Ommen,18007,4.0,22.2,,,2020-03-31T15:36:00
NL,Olst-Wijhe,18251,5.0,27.4,,,2020-03-31T15:36:00
NL,Hardinxveld-Giessendam,18295,1.0,5.5,,,2020-03-31T15:36:00
NL,Heerde,18587,17.0,91.5,,,2020-03-31T15:36:00
NL,Enkhuizen,18592,13.0,69.9,,,2020-03-31T15:36:00
NL,Bergeijk,18638,5.0,26.8,,,2020-03-31T15:36:00
NL,Oirschot,18723,6.0,32.0,,,2020-03-31T15:36:00
NL,Meerssen,18832,3.0,15.9,,,2020-03-31T15:36:00
NL,Dantumadiel,18916,0.0,0.0,,,2020-03-31T15:36:00
NL,Druten,18918,12.0,63.4,,,2020-03-31T15:36:00
NL,Eersel,19314,11.0,57.0,,,2020-03-31T15:36:00
NL,West Maas en Waal,19320,9.0,46.6,,,2020-03-31T15:36:00
NL,Midden-Delfland,19344,1.0,5.2,,,2020-03-31T15:36:00
NL,Someren,19376,8.0,41.3,,,2020-03-31T15:36:00
NL,Westerveld,19460,1.0,5.1,,,2020-03-31T15:36:00
NL,Drechterland,19717,1.0,5.1,,,2020-03-31T15:36:00
NL,Weesp,19729,2.0,10.1,,,2020-03-31T15:36:00
NL,Rhenen,20125,2.0,9.9,,,2020-03-31T15:36:00
NL,Alblasserdam,20165,2.0,9.9,,,2020-03-31T15:36:00
NL,Bladel,20395,7.0,34.3,,,2020-03-31T15:36:00
NL,Roerdalen,20572,13.0,63.2,,,2020-03-31T15:36:00
NL,Brummen,20756,3.0,14.5,,,2020-03-31T15:36:00
NL,Urk,21033,11.0,52.3,,,2020-03-31T15:36:00
NL,Cranendonck,21166,28.0,132.3,,,2020-03-31T15:36:00
NL,Tubbergen,21279,7.0,32.9,,,2020-03-31T15:36:00
NL,Geertruidenberg,21538,7.0,32.5,,,2020-03-31T15:36:00
NL,Stede Broec,21734,10.0,46.0,,,2020-03-31T15:36:00
NL,Zundert,21821,13.0,59.6,,,2020-03-31T15:36:00
NL,Bunschoten,21867,1.0,4.6,,,2020-03-31T15:36:00
NL,Woensdrecht,21883,4.0,18.3,,,2020-03-31T15:36:00
NL,Veere,21885,3.0,13.7,,,2020-03-31T15:36:00
NL,Hillegom,22208,3.0,13.5,,,2020-03-31T15:36:00
NL,Laarbeek,22530,18.0,79.9,,,2020-03-31T15:36:00
NL,Zeewolde,22656,3.0,13.2,,,2020-03-31T15:36:00
NL,Losser,22685,2.0,8.8,,,2020-03-31T15:36:00
NL,Zwartewaterland,22690,20.0,88.1,,,2020-03-31T15:36:00
NL,Reimerswaal,22728,4.0,17.6,,,2020-03-31T15:36:00
NL,Borsele,22738,3.0,13.2,,,2020-03-31T15:36:00
NL,Koggenland,22752,4.0,17.6,,,2020-03-31T15:36:00
NL,Rucphen,22873,3.0,13.1,,,2020-03-31T15:36:00
NL,Lisse,22957,3.0,13.1,,,2020-03-31T15:36:00
NL,Elburg,23161,2.0,8.6,,,2020-03-31T15:36:00
NL,Sluis,23217,4.0,17.2,,,2020-03-31T15:36:00
NL,Borne,23313,10.0,42.9,,,2020-03-31T15:36:00
NL,"Nuenen, Gerwen en Nederwetten",23379,7.0,29.9,,,2020-03-31T15:36:00
NL,Loon op Zand,23407,15.0,64.1,,,2020-03-31T15:36:00
NL,Bloemendaal,23570,3.0,12.7,,,2020-03-31T15:36:00
NL,Oldebroek,23645,6.0,25.4,,,2020-03-31T15:36:00
NL,Goirle,23906,16.0,66.9,,,2020-03-31T15:36:00
NL,Wijk bij Duurstede,23910,5.0,20.9,,,2020-03-31T15:36:00
NL,Maasgouw,23960,10.0,41.7,,,2020-03-31T15:36:00
NL,Heiloo,23974,5.0,20.9,,,2020-03-31T15:36:00
NL,Putten,24113,1.0,4.1,,,2020-03-31T15:36:00
