country,lau,cases,population,cases/100k pop.,deaths,hospitalized,datetime
NL,Terschelling,0,4889.0,0.0,,,2020-03-28T14:00:00
NL,Schiermonnikoog,0,947.0,0.0,,,2020-03-28T14:00:00
NL,Vlieland,0,1152.0,0.0,,,2020-03-28T14:00:00
NL,Ameland,0,3718.0,0.0,,,2020-03-28T14:00:00
NL,Losser,1,22685.0,4.4,,,2020-03-28T14:00:00
NL,Loppersum,1,9533.0,10.5,,,2020-03-28T14:00:00
NL,Stadskanaal,1,31688.0,3.2,,,2020-03-28T14:00:00
NL,Ooststellingwerf,1,25472.0,3.9,,,2020-03-28T14:00:00
NL,Appingedam,1,11644.0,8.6,,,2020-03-28T14:00:00
NL,Renswoude,1,5448.0,18.4,,,2020-03-28T14:00:00
NL,Borger-Odoorn,1,25558.0,3.9,,,2020-03-28T14:00:00
NL,Eemnes,1,9247.0,10.8,,,2020-03-28T14:00:00
NL,Dantumadiel,1,18916.0,5.3,,,2020-03-28T14:00:00
NL,Bergen (L.),2,13085.0,15.3,,,2020-03-28T14:00:00
NL,Rozendaal,2,1705.0,117.3,,,2020-03-28T14:00:00
NL,Pekela,2,12199.0,16.4,,,2020-03-28T14:00:00
NL,Achtkarspelen,2,27836.0,7.2,,,2020-03-28T14:00:00
NL,Kapelle,2,12691.0,15.8,,,2020-03-28T14:00:00
NL,Noord-Beveland,2,7395.0,27.0,,,2020-03-28T14:00:00
NL,Baarle-Nassau,2,6860.0,29.2,,,2020-03-28T14:00:00
NL,Oldambt,2,38213.0,5.2,,,2020-03-28T14:00:00
NL,Berkelland,2,43748.0,4.6,,,2020-03-28T14:00:00
NL,Zoeterwoude,2,8611.0,23.2,,,2020-03-28T14:00:00
NL,Veendam,2,27387.0,7.3,,,2020-03-28T14:00:00
NL,Weststellingwerf,2,25916.0,7.7,,,2020-03-28T14:00:00
NL,Opmeer,2,11837.0,16.9,,,2020-03-28T14:00:00
NL,Hulst,3,27556.0,10.9,,,2020-03-28T14:00:00
NL,Harlingen,3,15720.0,19.1,,,2020-03-28T14:00:00
NL,Waadhoeke,3,46079.0,6.5,,,2020-03-28T14:00:00
NL,Noordenveld,3,31242.0,9.6,,,2020-03-28T14:00:00
NL,Lisse,3,22957.0,13.1,,,2020-03-28T14:00:00
NL,Winterswijk,3,28865.0,10.4,,,2020-03-28T14:00:00
NL,Westerwolde,3,25796.0,11.6,,,2020-03-28T14:00:00
NL,Texel,3,13573.0,22.1,,,2020-03-28T14:00:00
NL,Aalten,3,27117.0,11.1,,,2020-03-28T14:00:00
NL,Midden-Delfland,4,19344.0,20.7,,,2020-03-28T14:00:00
NL,Midden-Drenthe,4,33182.0,12.1,,,2020-03-28T14:00:00
NL,Noardeast-Fryslân,4,45251.0,8.8,,,2020-03-28T14:00:00
NL,Bunschoten,4,21867.0,18.3,,,2020-03-28T14:00:00
