country,nuts_2,lau,cases,population,deaths,hospitalized,datetime
NL,Fryslân,Vlieland,45,,0,0,2021-03-16T10:00:00
NL,Fryslân,Ameland,146,,0,0,2021-03-16T10:00:00
NL,Drenthe,,36,,0,0,2021-03-16T10:00:00
NL,Fryslân,Terschelling,188,,1,1,2021-03-16T10:00:00
NL,Gelderland,Rozendaal,75,,0,1,2021-03-16T10:00:00
NL,Flevoland,,12,,0,1,2021-03-16T10:00:00
NL,Groningen,,59,,0,1,2021-03-16T10:00:00
NL,Fryslân,,37,,0,1,2021-03-16T10:00:00
NL,Fryslân,Schiermonnikoog,40,,2,1,2021-03-16T10:00:00
NL,Zeeland,,36,,1,2,2021-03-16T10:00:00
NL,Overijssel,,274,,3,4,2021-03-16T10:00:00
NL,Drenthe,Aa en Hunze,1010,,20,5,2021-03-16T10:00:00
NL,Gelderland,Scherpenzeel,820,,12,5,2021-03-16T10:00:00
NL,Limburg,,178,,3,6,2021-03-16T10:00:00
NL,Noord-Holland,Beemster,681,,2,6,2021-03-16T10:00:00
NL,Noord-Holland,Opmeer,1011,,4,6,2021-03-16T10:00:00
NL,Utrecht,Renswoude,425,,5,6,2021-03-16T10:00:00
NL,Utrecht,,119,,1,6,2021-03-16T10:00:00
NL,Noord-Holland,Texel,346,,4,6,2021-03-16T10:00:00
NL,Fryslân,Harlingen,483,,3,7,2021-03-16T10:00:00
NL,Zuid-Holland,Zoeterwoude,564,,1,7,2021-03-16T10:00:00
NL,Groningen,Veendam,1338,,10,8,2021-03-16T10:00:00
NL,Zeeland,Kapelle,557,,6,9,2021-03-16T10:00:00
NL,Fryslân,Dantumadiel,1028,,16,9,2021-03-16T10:00:00
NL,Noord-Holland,Landsmeer,893,,5,10,2021-03-16T10:00:00
NL,Gelderland,,324,,3,10,2021-03-16T10:00:00
NL,Fryslân,Weststellingwerf,1123,,27,10,2021-03-16T10:00:00
NL,Noord-Holland,Uitgeest,985,,7,11,2021-03-16T10:00:00
NL,Limburg,Mook en Middelaar,463,,11,11,2021-03-16T10:00:00
NL,Noord-Holland,Blaricum,703,,6,11,2021-03-16T10:00:00
NL,Noord-Holland,Ouder-Amstel,942,,4,12,2021-03-16T10:00:00
NL,Drenthe,Westerveld,657,,20,12,2021-03-16T10:00:00
NL,Noord-Brabant,Baarle-Nassau,350,,4,12,2021-03-16T10:00:00
NL,Zeeland,Noord-Beveland,340,,8,12,2021-03-16T10:00:00
NL,Zuid-Holland,Hardinxveld-Giessendam,1969,,23,13,2021-03-16T10:00:00
NL,Gelderland,Winterswijk,1366,,13,13,2021-03-16T10:00:00
NL,Fryslân,Ooststellingwerf,883,,6,13,2021-03-16T10:00:00
NL,Overijssel,Ommen,1096,,15,13,2021-03-16T10:00:00
NL,Noord-Holland,Bloemendaal,1167,,16,13,2021-03-16T10:00:00
NL,Overijssel,Staphorst,1664,,18,14,2021-03-16T10:00:00
NL,Zuid-Holland,Hillegom,1265,,17,15,2021-03-16T10:00:00
NL,Noord-Brabant,Waalre,1066,,12,15,2021-03-16T10:00:00
