country,nuts_2,lau,cases,population,deaths,hospitalized,datetime
NL,Fryslân,Vlieland,40,,0,0,2021-03-01T10:00:00
NL,Fryslân,Ameland,144,,0,0,2021-03-01T10:00:00
NL,Drenthe,,30,,0,0,2021-03-01T10:00:00
NL,Gelderland,Rozendaal,73,,0,1,2021-03-01T10:00:00
NL,Fryslân,Terschelling,177,,1,1,2021-03-01T10:00:00
NL,Flevoland,,15,,0,1,2021-03-01T10:00:00
NL,Groningen,,39,,0,1,2021-03-01T10:00:00
NL,Fryslân,,32,,0,1,2021-03-01T10:00:00
NL,Fryslân,Schiermonnikoog,35,,0,1,2021-03-01T10:00:00
NL,Zeeland,,23,,1,2,2021-03-01T10:00:00
NL,Overijssel,,188,,3,4,2021-03-01T10:00:00
NL,Drenthe,Aa en Hunze,963,,15,5,2021-03-01T10:00:00
NL,Gelderland,Scherpenzeel,803,,12,5,2021-03-01T10:00:00
NL,Limburg,,164,,3,6,2021-03-01T10:00:00
NL,Noord-Holland,Beemster,569,,2,6,2021-03-01T10:00:00
NL,Noord-Holland,Texel,331,,3,6,2021-03-01T10:00:00
NL,Utrecht,Renswoude,413,,5,6,2021-03-01T10:00:00
NL,Utrecht,,108,,1,6,2021-03-01T10:00:00
NL,Noord-Holland,Opmeer,898,,4,6,2021-03-01T10:00:00
NL,Fryslân,Harlingen,402,,3,6,2021-03-01T10:00:00
NL,Groningen,Veendam,1255,,10,7,2021-03-01T10:00:00
NL,Zuid-Holland,Zoeterwoude,535,,1,7,2021-03-01T10:00:00
NL,Fryslân,Dantumadiel,975,,14,8,2021-03-01T10:00:00
NL,Zeeland,Kapelle,512,,6,9,2021-03-01T10:00:00
NL,Zeeland,Noord-Beveland,301,,5,9,2021-03-01T10:00:00
NL,Zuid-Holland,Hardinxveld-Giessendam,1823,,18,9,2021-03-01T10:00:00
NL,Noord-Holland,Landsmeer,826,,5,10,2021-03-01T10:00:00
NL,Gelderland,,301,,3,10,2021-03-01T10:00:00
NL,Fryslân,Weststellingwerf,1036,,23,10,2021-03-01T10:00:00
NL,Noord-Holland,Blaricum,654,,5,10,2021-03-01T10:00:00
NL,Noord-Holland,Uitgeest,927,,7,10,2021-03-01T10:00:00
NL,Limburg,Mook en Middelaar,459,,11,11,2021-03-01T10:00:00
NL,Noord-Holland,Ouder-Amstel,893,,4,11,2021-03-01T10:00:00
