country,nuts_3,cases,population,deaths,datetime
GR,Cruise Ship,7,0.0,0,2022-04-03T00:00:00
GR,Mount Athos,205,1811.0,0,2022-04-03T00:00:00
GR,Imported (They asked to be tested),2664,0.0,0,2022-04-03T00:00:00
GR,Evrytania,4152,20081.0,0,2022-04-03T00:00:00
GR,Phocis,6048,40343.0,0,2022-04-03T00:00:00
GR,Grevena,7183,31757.0,1,2022-04-03T00:00:00
GR,Lefkada,7323,23693.0,0,2022-04-03T00:00:00
GR,Kefalonia,7883,39032.0,0,2022-04-03T00:00:00
GR,Samos,10361,42859.0,0,2022-04-03T00:00:00
GR,Thesprotia,10463,43587.0,2,2022-04-03T00:00:00
GR,Zakynthos,10558,40759.0,3,2022-04-03T00:00:00
GR,Imported (Detected at the entry points),11484,0.0,0,2022-04-03T00:00:00
GR,Preveza,13029,57491.0,0,2022-04-03T00:00:00
GR,Chios,13295,52674.0,0,2022-04-03T00:00:00
GR,Kastoria,13322,50322.0,16,2022-04-03T00:00:00
GR,Florina,13742,51414.0,2,2022-04-03T00:00:00
GR,Arta,13862,67877.0,2,2022-04-03T00:00:00
GR,Laconia,18317,89138.0,0,2022-04-03T00:00:00
GR,Lasithi,18398,75381.0,0,2022-04-03T00:00:00
GR,Kilkis,20294,80419.0,3,2022-04-03T00:00:00
GR,Arcadia,21040,86685.0,0,2022-04-03T00:00:00
GR,Rhodope,23363,112039.0,3,2022-04-03T00:00:00
GR,Argolis,23762,97044.0,2,2022-04-03T00:00:00
GR,Drama,24817,98287.0,7,2022-04-03T00:00:00
GR,Xanthi,26045,111222.0,14,2022-04-03T00:00:00
GR,Karditsa,26333,113544.0,1,2022-04-03T00:00:00
GR,Chalkidiki,27757,107719.0,5,2022-04-03T00:00:00
GR,Lesbos,29181,103698.0,13,2022-04-03T00:00:00
GR,Corfu (Kerkyra),29500,104371.0,3,2022-04-03T00:00:00
GR,Rethymno,29642,85609.0,0,2022-04-03T00:00:00
GR,Boeotia,29721,117920.0,0,2022-04-03T00:00:00
GR,Elis,30951,159300.0,2,2022-04-03T00:00:00
GR,Trikala,33096,131085.0,3,2022-04-03T00:00:00
GR,Phthiotis,33790,158231.0,0,2022-04-03T00:00:00
GR,Pella,35351,139680.0,11,2022-04-03T00:00:00
GR,Pieria,35359,126698.0,8,2022-04-03T00:00:00
GR,Cyclades,35412,118027.0,0,2022-04-03T00:00:00
GR,Kavala,35779,138687.0,8,2022-04-03T00:00:00
GR,Imathia,36407,140611.0,5,2022-04-03T00:00:00
GR,Corinthia,38066,145082.0,1,2022-04-03T00:00:00
GR,Serres,38219,176430.0,19,2022-04-03T00:00:00
GR,Messenia,39582,159954.0,0,2022-04-03T00:00:00
GR,Evros,39890,147947.0,0,2022-04-03T00:00:00
GR,Kozani,46167,150196.0,31,2022-04-03T00:00:00
GR,Ioannina,47192,167901.0,13,2022-04-03T00:00:00
GR,Aetolia-Acarnania,48970,210802.0,0,2022-04-03T00:00:00
GR,Euboea,50540,210815.0,1,2022-04-03T00:00:00
GR,Chania,51979,156585.0,1,2022-04-03T00:00:00
GR,Magnesia,54322,203808.0,7,2022-04-03T00:00:00
GR,Dodecanese,55282,190988.0,0,2022-04-03T00:00:00
GR,Larissa,89780,284325.0,23,2022-04-03T00:00:00
GR,No Location Provided,93631,10816286.0,26931,2022-04-03T00:00:00
GR,Achaea,95268,309694.0,14,2022-04-03T00:00:00
GR,Herakleion,105073,305490.0,2,2022-04-03T00:00:00
GR,Thessaloniki,365096,1110551.0,184,2022-04-03T00:00:00
GR,Attica,1048756,3828434.0,330,2022-04-03T00:00:00
