country,nuts_3,cases,population,deaths,datetime
GR,Cruise Ship,7,0.0,0,2022-04-14T00:00:00
GR,Mount Athos,222,1811.0,0,2022-04-14T00:00:00
GR,Imported (They asked to be tested),2719,0.0,0,2022-04-14T00:00:00
GR,Evrytania,4360,20081.0,0,2022-04-14T00:00:00
GR,Phocis,6476,40343.0,0,2022-04-14T00:00:00
GR,Grevena,7444,31757.0,1,2022-04-14T00:00:00
GR,Lefkada,7662,23693.0,0,2022-04-14T00:00:00
GR,Kefalonia,8308,39032.0,0,2022-04-14T00:00:00
GR,Samos,10834,42859.0,0,2022-04-14T00:00:00
GR,Thesprotia,10869,43587.0,2,2022-04-14T00:00:00
GR,Zakynthos,10900,40759.0,3,2022-04-14T00:00:00
GR,Imported (Detected at the entry points),11505,0.0,0,2022-04-14T00:00:00
GR,Preveza,13552,57491.0,0,2022-04-14T00:00:00
GR,Kastoria,13831,50322.0,16,2022-04-14T00:00:00
GR,Chios,14007,52674.0,0,2022-04-14T00:00:00
GR,Florina,14324,51414.0,2,2022-04-14T00:00:00
GR,Arta,14477,67877.0,2,2022-04-14T00:00:00
GR,Lasithi,19597,75381.0,0,2022-04-14T00:00:00
GR,Laconia,19696,89138.0,0,2022-04-14T00:00:00
GR,Kilkis,21057,80419.0,3,2022-04-14T00:00:00
GR,Arcadia,22218,86685.0,0,2022-04-14T00:00:00
GR,Rhodope,23970,112039.0,3,2022-04-14T00:00:00
GR,Argolis,25344,97044.0,2,2022-04-14T00:00:00
GR,Drama,25776,98287.0,7,2022-04-14T00:00:00
GR,Xanthi,26764,111222.0,14,2022-04-14T00:00:00
GR,Karditsa,27861,113544.0,1,2022-04-14T00:00:00
GR,Chalkidiki,28758,107719.0,5,2022-04-14T00:00:00
GR,Lesbos,30269,103698.0,13,2022-04-14T00:00:00
GR,Rethymno,30344,85609.0,0,2022-04-14T00:00:00
GR,Corfu (Kerkyra),31078,104371.0,3,2022-04-14T00:00:00
GR,Boeotia,31141,117920.0,0,2022-04-14T00:00:00
GR,Elis,32724,159300.0,2,2022-04-14T00:00:00
GR,Trikala,35048,131085.0,3,2022-04-14T00:00:00
GR,Phthiotis,36158,158231.0,0,2022-04-14T00:00:00
GR,Pella,36687,139680.0,11,2022-04-14T00:00:00
GR,Pieria,36715,126698.0,8,2022-04-14T00:00:00
GR,Cyclades,37473,118027.0,0,2022-04-14T00:00:00
GR,Kavala,37503,138687.0,8,2022-04-14T00:00:00
GR,Imathia,37945,140611.0,5,2022-04-14T00:00:00
GR,Corinthia,39843,145082.0,1,2022-04-14T00:00:00
GR,Serres,40254,176430.0,19,2022-04-14T00:00:00
GR,Evros,41076,147947.0,0,2022-04-14T00:00:00
GR,Messenia,41900,159954.0,0,2022-04-14T00:00:00
GR,Kozani,47820,150196.0,31,2022-04-14T00:00:00
GR,Ioannina,49289,167901.0,13,2022-04-14T00:00:00
GR,Aetolia-Acarnania,51743,210802.0,0,2022-04-14T00:00:00
GR,Euboea,53463,210815.0,1,2022-04-14T00:00:00
GR,Chania,54423,156585.0,1,2022-04-14T00:00:00
GR,Magnesia,57246,203808.0,7,2022-04-14T00:00:00
GR,Dodecanese,57430,190988.0,0,2022-04-14T00:00:00
GR,No Location Provided,89927,10816286.0,27641,2022-04-14T00:00:00
GR,Larissa,93720,284325.0,23,2022-04-14T00:00:00
GR,Achaea,98265,309694.0,14,2022-04-14T00:00:00
GR,Herakleion,110095,305490.0,2,2022-04-14T00:00:00
GR,Thessaloniki,379281,1110551.0,184,2022-04-14T00:00:00
GR,Attica,1104858,3828434.0,330,2022-04-14T00:00:00
