country,nuts_3,cases,datetime
England,Derbyshire,  452,2020-04-05T00:00:00
England,Liverpool,  455,2020-04-05T00:00:00
England,Lewisham,  477,2020-04-05T00:00:00
England,Bromley,  489,2020-04-05T00:00:00
England,Ealing,  489,2020-04-05T00:00:00
England,Wandsworth,  492,2020-04-05T00:00:00
England,Newham,  493,2020-04-05T00:00:00
England,Staffordshire,  534,2020-04-05T00:00:00
England,Croydon,  558,2020-04-05T00:00:00
England,Lambeth,  631,2020-04-05T00:00:00
England,Barnet,  645,2020-04-05T00:00:00
England,Southwark,  648,2020-04-05T00:00:00
England,Cumbria,  698,2020-04-05T00:00:00
England,Lancashire,  726,2020-04-05T00:00:00
England,Brent,  728,2020-04-05T00:00:00
England,Kent,  755,2020-04-05T00:00:00
England,Essex,  792,2020-04-05T00:00:00
England,Surrey,  811,2020-04-05T00:00:00
England,Sheffield,  833,2020-04-05T00:00:00
England,Hertfordshire,  833,2020-04-05T00:00:00
England,Hampshire,  876,2020-04-05T00:00:00
England,Birmingham,"1,246",2020-04-05T00:00:00
