country,cases,deaths,datetime
LI,3022,58,2021-06-08T00:00:00
IS,6612,30,2021-06-08T00:00:00
MT,30571,419,2021-06-08T00:00:00
LU,70256,818,2021-06-08T00:00:00
CY,72859,364,2021-06-08T00:00:00
FI,93281,959,2021-06-08T00:00:00
NO,126817,784,2021-06-08T00:00:00
EE,130242,1264,2021-06-08T00:00:00
LV,134888,2413,2021-06-08T00:00:00
SI,255432,4707,2021-06-08T00:00:00
IE,264024,4941,2021-06-08T00:00:00
LT,276759,4317,2021-06-08T00:00:00
DK,286948,2520,2021-06-08T00:00:00
HR,357608,8091,2021-06-08T00:00:00
GR,410166,12301,2021-06-08T00:00:00
BG,419681,17854,2021-06-08T00:00:00
AT,643043,10383,2021-06-08T00:00:00
SK,776147,12414,2021-06-08T00:00:00
HU,806206,29883,2021-06-08T00:00:00
PT,853034,17036,2021-06-08T00:00:00
BE,1071177,25041,2021-06-08T00:00:00
SE,1078062,14523,2021-06-08T00:00:00
RO,1078952,30878,2021-06-08T00:00:00
NL,1662281,17659,2021-06-08T00:00:00
CZ,1663998,30193,2021-06-08T00:00:00
PL,2875328,74160,2021-06-08T00:00:00
DE,3702688,89384,2021-06-08T00:00:00
ES,3707523,80236,2021-06-08T00:00:00
IT,4233698,126588,2021-06-08T00:00:00
FR,5713917,110091,2021-06-08T00:00:00
