country,cases,deaths,datetime
LI,4242,61,2021-11-23T00:00:00
IS,16800,34,2021-11-23T00:00:00
MT,38773,464,2021-11-23T00:00:00
LU,86637,862,2021-11-23T00:00:00
CY,130591,590,2021-11-23T00:00:00
FI,177439,1258,2021-11-23T00:00:00
EE,218604,1754,2021-11-23T00:00:00
NO,242890,1002,2021-11-23T00:00:00
LV,246465,3967,2021-11-23T00:00:00
SI,405477,5411,2021-11-23T00:00:00
DK,453802,2816,2021-11-23T00:00:00
LT,458298,6578,2021-11-23T00:00:00
IE,534594,5609,2021-11-23T00:00:00
HR,571707,10376,2021-11-23T00:00:00
BG,676750,27507,2021-11-23T00:00:00
GR,886207,17425,2021-11-23T00:00:00
HU,1032215,33343,2021-11-23T00:00:00
AT,1067855,11645,2021-11-23T00:00:00
SK,1081626,13919,2021-11-23T00:00:00
PT,1123758,18339,2021-11-23T00:00:00
SE,1188735,15110,2021-11-23T00:00:00
BE,1623465,26669,2021-11-23T00:00:00
RO,1764251,55113,2021-11-23T00:00:00
CZ,2018069,32304,2021-11-23T00:00:00
NL,2465288,18995,2021-11-23T00:00:00
PL,3357763,80830,2021-11-23T00:00:00
IT,4932091,133247,2021-11-23T00:00:00
ES,5096538,87832,2021-11-23T00:00:00
DE,5430911,99433,2021-11-23T00:00:00
FR,7420237,118555,2021-11-23T00:00:00
