country,cases,deaths,datetime
CY,10383,48,2020-11-30T00:00:00
GR,104227,2321,2020-11-30T00:00:00
DE,1053869,16248,2020-11-30T00:00:00
SK,105733,816,2020-11-30T00:00:00
EE,12052,112,2020-11-30T00:00:00
HR,126612,1712,2020-11-30T00:00:00
LI,1273,15,2020-11-30T00:00:00
Total,13123678,321998,2020-11-30T00:00:00
BG,142486,3814,2020-11-30T00:00:00
IT,1585178,54904,2020-11-30T00:00:00
GB,1617327,58245,2020-11-30T00:00:00
ES,1628208,44668,2020-11-30T00:00:00
LV,16975,197,2020-11-30T00:00:00
HU,217122,4823,2020-11-30T00:00:00
FR,2218483,52325,2020-11-30T00:00:00
SE,243129,6681,2020-11-30T00:00:00
FI,24629,393,2020-11-30T00:00:00
AT,278182,2904,2020-11-30T00:00:00
PT,294799,4427,2020-11-30T00:00:00
LU,33973,306,2020-11-30T00:00:00
NO,34747,328,2020-11-30T00:00:00
RO,471536,11193,2020-11-30T00:00:00
NL,518273,9336,2020-11-30T00:00:00
CZ,519723,8138,2020-11-30T00:00:00
IS,5381,26,2020-11-30T00:00:00
BE,576503,16547,2020-11-30T00:00:00
LT,61325,506,2020-11-30T00:00:00
IE,72241,2052,2020-11-30T00:00:00
SI,75381,927,2020-11-30T00:00:00
DK,79352,829,2020-11-30T00:00:00
MT,9501,128,2020-11-30T00:00:00
PL,985075,17029,2020-11-30T00:00:00
