country,cases,deaths,datetime
LI,2790,56,2021-04-06T00:00:00
IS,6279,29,2021-04-06T00:00:00
MT,29883,403,2021-04-06T00:00:00
CY,53944,283,2021-04-06T00:00:00
LU,64549,785,2021-04-06T00:00:00
FI,83253,885,2021-04-06T00:00:00
NO,105606,707,2021-04-06T00:00:00
LV,109731,2030,2021-04-06T00:00:00
EE,116678,1064,2021-04-06T00:00:00
SI,229966,4417,2021-04-06T00:00:00
LT,230462,3730,2021-04-06T00:00:00
DK,240330,2449,2021-04-06T00:00:00
IE,242402,4820,2021-04-06T00:00:00
HR,300900,6442,2021-04-06T00:00:00
GR,308006,9239,2021-04-06T00:00:00
SK,373950,10877,2021-04-06T00:00:00
BG,382761,14979,2021-04-06T00:00:00
AT,583162,9563,2021-04-06T00:00:00
HU,742198,24762,2021-04-06T00:00:00
PT,829358,16933,2021-04-06T00:00:00
SE,892480,13761,2021-04-06T00:00:00
BE,939215,23636,2021-04-06T00:00:00
RO,1020301,25800,2021-04-06T00:00:00
NL,1376397,16840,2021-04-06T00:00:00
CZ,1597103,28317,2021-04-06T00:00:00
PL,2642242,60612,2021-04-06T00:00:00
DE,3099273,79628,2021-04-06T00:00:00
ES,3396685,76882,2021-04-06T00:00:00
IT,3826156,115937,2021-04-06T00:00:00
FR,5187879,100102,2021-04-06T00:00:00
