country,cases,deaths,datetime
LI,3498,60,2021-10-18T00:00:00
IS,12455,33,2021-10-18T00:00:00
MT,37455,459,2021-10-18T00:00:00
LU,79720,839,2021-10-18T00:00:00
CY,122362,562,2021-10-18T00:00:00
FI,149897,1116,2021-10-18T00:00:00
EE,173335,1429,2021-10-18T00:00:00
LV,185616,2890,2021-10-18T00:00:00
NO,195384,884,2021-10-18T00:00:00
SI,308501,4992,2021-10-18T00:00:00
DK,368651,2685,2021-10-18T00:00:00
LT,370119,5456,2021-10-18T00:00:00
IE,415114,5306,2021-10-18T00:00:00
HR,427914,8896,2021-10-18T00:00:00
BG,540619,22274,2021-10-18T00:00:00
GR,693886,15375,2021-10-18T00:00:00
AT,772344,10932,2021-10-18T00:00:00
SK,829827,12791,2021-10-18T00:00:00
HU,836389,30402,2021-10-18T00:00:00
PT,1079806,18097,2021-10-18T00:00:00
SE,1161933,14956,2021-10-18T00:00:00
BE,1279774,25747,2021-10-18T00:00:00
RO,1457260,41781,2021-10-18T00:00:00
CZ,1709716,30554,2021-10-18T00:00:00
NL,2047711,18248,2021-10-18T00:00:00
PL,2939590,76112,2021-10-18T00:00:00
DE,4377845,94628,2021-10-18T00:00:00
IT,4717899,131541,2021-10-18T00:00:00
ES,4984386,86974,2021-10-18T00:00:00
FR,7089052,117265,2021-10-18T00:00:00
