country,cases,deaths,deaths/100k pop.,datetime
LI,1633,18,5.211319,2020-12-21T00:00:00
IS,5642,28,0.280119,2020-12-21T00:00:00
MT,11714,190,7.901791,2020-12-21T00:00:00
CY,17688,91,3.425052,2020-12-21T00:00:00
EE,21794,174,3.245724,2020-12-21T00:00:00
LV,30940,439,9.218904,2020-12-21T00:00:00
FI,33162,489,1.341085,2020-12-21T00:00:00
NO,42775,404,0.938401,2020-12-21T00:00:00
LU,44067,440,14.66051,2020-12-21T00:00:00
IE,79542,2158,1.243822,2020-12-21T00:00:00
SI,105899,2368,53.3421,2020-12-21T00:00:00
LT,114487,1039,14.38703,2020-12-21T00:00:00
GR,131072,4172,10.90017,2020-12-21T00:00:00
DK,134434,1035,2.583498,2020-12-21T00:00:00
SK,151336,1555,10.25609,2020-12-21T00:00:00
BG,191195,6609,25.88557,2020-12-21T00:00:00
HR,195728,3257,26.56856,2020-12-21T00:00:00
HU,305130,8282,23.51435,2020-12-21T00:00:00
AT,336222,5216,16.75175,2020-12-21T00:00:00
PT,374121,6134,11.3948,2020-12-21T00:00:00
SE,384294,8163,5.161197,2020-12-21T00:00:00
RO,591294,14394,10.68276,2020-12-21T00:00:00
BE,627370,18766,11.29587,2020-12-21T00:00:00
CZ,627523,10411,14.16928,2020-12-21T00:00:00
NL,688900,10477,4.646409,2020-12-21T00:00:00
PL,1202700,25397,13.97842,2020-12-21T00:00:00
DE,1510652,26275,8.8606,2020-12-21T00:00:00
ES,1819249,49260,5.56916,2020-12-21T00:00:00
IT,1953185,68799,14.44842,2020-12-21T00:00:00
GB,2040147,67401,9.236709,2020-12-21T00:00:00
FR,2473354,60549,8.049199,2020-12-21T00:00:00
Total,16247249,403990,349.1487,2020-12-21T00:00:00
