country,cases,deaths,datetime
LI,12932,78,2022-03-07T00:00:00
MT,71896,608,2022-03-07T00:00:00
IS,140929,68,2022-03-07T00:00:00
LU,186360,996,2022-03-07T00:00:00
CY,328657,861,2022-03-07T00:00:00
EE,515708,2293,2022-03-07T00:00:00
FI,671773,2387,2022-03-07T00:00:00
LV,701540,5336,2022-03-07T00:00:00
SI,903686,6363,2022-03-07T00:00:00
LT,931825,8512,2022-03-07T00:00:00
HR,1063828,15214,2022-03-07T00:00:00
BG,1101326,35832,2022-03-07T00:00:00
NO,1289887,1664,2022-03-07T00:00:00
IE,1315100,6531,2022-03-07T00:00:00
HU,1800046,44286,2022-03-07T00:00:00
SK,2164747,18611,2022-03-07T00:00:00
SE,2455966,17479,2022-03-07T00:00:00
GR,2508472,25791,2022-03-07T00:00:00
DK,2763235,4333,2022-03-07T00:00:00
RO,2768261,63961,2022-03-07T00:00:00
AT,2892721,14417,2022-03-07T00:00:00
PT,3321824,21167,2022-03-07T00:00:00
BE,3586292,30259,2022-03-07T00:00:00
CZ,3632095,38940,2022-03-07T00:00:00
PL,5680866,112545,2022-03-07T00:00:00
NL,6707202,21612,2022-03-07T00:00:00
ES,11079714,100070,2022-03-07T00:00:00
IT,13026112,155887,2022-03-07T00:00:00
DE,15869144,124126,2022-03-07T00:00:00
FR,23057326,139275,2022-03-07T00:00:00
