country,cases,deaths,datetime
LU,10030,133,2020-10-15T00:00:00
SE,101332,5907,2020-10-15T00:00:00
FI,12703,350,2020-10-15T00:00:00
CZ,139290,1172,2020-10-15T00:00:00
PL,141804,3217,2020-10-15T00:00:00
LI,155,1,2020-10-15T00:00:00
NO,15791,277,2020-10-15T00:00:00
RO,164477,5601,2020-10-15T00:00:00
BE,181418,10278,2020-10-15T00:00:00
NL,195933,6654,2020-10-15T00:00:00
CY,2130,25,2020-10-15T00:00:00
HR,21741,334,2020-10-15T00:00:00
SK,22296,66,2020-10-15T00:00:00
GR,23495,469,2020-10-15T00:00:00
BG,26593,929,2020-10-15T00:00:00
LV,2942,41,2020-10-15T00:00:00
DK,33593,675,2020-10-15T00:00:00
DE,341223,9710,2020-10-15T00:00:00
IT,372799,36289,2020-10-15T00:00:00
IS,3757,10,2020-10-15T00:00:00
EE,3947,68,2020-10-15T00:00:00
MT,4048,44,2020-10-15T00:00:00
HU,41732,1052,2020-10-15T00:00:00
Total,4417239,198004,2020-10-15T00:00:00
IE,45243,1835,2020-10-15T00:00:00
AT,59368,888,2020-10-15T00:00:00
LT,6505,109,2020-10-15T00:00:00
GB,654644,43155,2020-10-15T00:00:00
FR,779063,33037,2020-10-15T00:00:00
ES,908056,33413,2020-10-15T00:00:00
PT,91193,2117,2020-10-15T00:00:00
SI,9938,148,2020-10-15T00:00:00
