country,cases,deaths,datetime
LI,108,1,2020-09-06T00:00:00
NO,11120,264,2020-09-06T00:00:00
GR,11386,280,2020-09-06T00:00:00
HR,11739,197,2020-09-06T00:00:00
LV,1425,35,2020-09-06T00:00:00
CY,1507,21,2020-09-06T00:00:00
BG,16954,665,2020-09-06T00:00:00
DK,17547,627,2020-09-06T00:00:00
MT,2014,14,2020-09-06T00:00:00
IS,2136,10,2020-09-06T00:00:00
Total,2356319,182754,2020-09-06T00:00:00
EE,2491,64,2020-09-06T00:00:00
DE,249985,9325,2020-09-06T00:00:00
IT,276338,35534,2020-09-06T00:00:00
CZ,27752,431,2020-09-06T00:00:00
AT,29056,735,2020-09-06T00:00:00
IE,29534,1777,2020-09-06T00:00:00
LT,3040,86,2020-09-06T00:00:00
SI,3131,130,2020-09-06T00:00:00
FR,317706,30698,2020-09-06T00:00:00
GB,344164,41549,2020-09-06T00:00:00
SK,4526,37,2020-09-06T00:00:00
ES,498989,29418,2020-09-06T00:00:00
PT,59943,1838,2020-09-06T00:00:00
LU,6854,124,2020-09-06T00:00:00
PL,70387,2113,2020-09-06T00:00:00
NL,73790,6232,2020-09-06T00:00:00
HU,7892,624,2020-09-06T00:00:00
FI,8225,335,2020-09-06T00:00:00
SE,84985,5835,2020-09-06T00:00:00
BE,87731,9905,2020-09-06T00:00:00
RO,93864,3850,2020-09-06T00:00:00
