country,cases,deaths,datetime
LI,108,1,2020-09-08T00:00:00
NO,11387,264,2020-09-08T00:00:00
GR,11663,289,2020-09-08T00:00:00
HR,12081,201,2020-09-08T00:00:00
LV,1429,35,2020-09-08T00:00:00
CY,1510,21,2020-09-08T00:00:00
BG,17146,677,2020-09-08T00:00:00
DK,18113,628,2020-09-08T00:00:00
MT,2076,15,2020-09-08T00:00:00
IS,2143,10,2020-09-08T00:00:00
Total,2416705,183054,2020-09-08T00:00:00
DE,252298,9329,2020-09-08T00:00:00
EE,2532,64,2020-09-08T00:00:00
IT,278784,35553,2020-09-08T00:00:00
CZ,28716,437,2020-09-08T00:00:00
IE,29774,1777,2020-09-08T00:00:00
AT,29875,746,2020-09-08T00:00:00
LT,3100,86,2020-09-08T00:00:00
SI,3190,130,2020-09-08T00:00:00
FR,328980,30726,2020-09-08T00:00:00
GB,350100,41554,2020-09-08T00:00:00
SK,4636,37,2020-09-08T00:00:00
ES,525549,29516,2020-09-08T00:00:00
PT,60507,1843,2020-09-08T00:00:00
LU,6950,124,2020-09-08T00:00:00
PL,71126,2124,2020-09-08T00:00:00
NL,75512,6234,2020-09-08T00:00:00
FI,8327,336,2020-09-08T00:00:00
SE,85558,5837,2020-09-08T00:00:00
BE,88675,9909,2020-09-08T00:00:00
HU,8963,625,2020-09-08T00:00:00
RO,95897,3926,2020-09-08T00:00:00
