country,cases,deaths,datetime
LI,81,1,2020-04-16T00:00:00
MT,399,3,2020-04-16T00:00:00
LV,666,5,2020-04-16T00:00:00
CY,715,17,2020-04-16T00:00:00
BG,747,36,2020-04-16T00:00:00
SK,863,6,2020-04-16T00:00:00
LT,1091,29,2020-04-16T00:00:00
SI,1248,61,2020-04-16T00:00:00
EE,1402,35,2020-04-16T00:00:00
HU,1652,142,2020-04-16T00:00:00
IS,1727,8,2020-04-16T00:00:00
HR,1741,34,2020-04-16T00:00:00
GR,2192,102,2020-04-16T00:00:00
FI,3237,72,2020-04-16T00:00:00
LU,3373,69,2020-04-16T00:00:00
CZ,6303,166,2020-04-16T00:00:00
NO,6677,130,2020-04-16T00:00:00
DK,6681,309,2020-04-16T00:00:00
RO,7216,372,2020-04-16T00:00:00
PL,7582,286,2020-04-16T00:00:00
SE,11927,1203,2020-04-16T00:00:00
IE,12547,444,2020-04-16T00:00:00
AT,14370,393,2020-04-16T00:00:00
PT,18091,599,2020-04-16T00:00:00
NL,28153,3134,2020-04-16T00:00:00
BE,33573,4440,2020-04-16T00:00:00
GB,98476,12868,2020-04-16T00:00:00
FR,106206,17167,2020-04-16T00:00:00
DE,130450,3569,2020-04-16T00:00:00
IT,165155,21647,2020-04-16T00:00:00
ES,177633,18579,2020-04-16T00:00:00
Total,852174,85926,2020-04-16T00:00:00
