country,cases,deaths,deaths/100k pop.,datetime
LI,2092,27,23.45,2020-12-28T00:00:00
IS,5726,28,0.0,2020-12-28T00:00:00
MT,12426,215,8.31,2020-12-28T00:00:00
CY,19657,112,3.88,2020-12-28T00:00:00
EE,25808,213,4.83,2020-12-28T00:00:00
FI,35137,546,1.54,2020-12-28T00:00:00
LV,36838,578,11.93,2020-12-28T00:00:00
LU,45849,487,14.82,2020-12-28T00:00:00
NO,47057,429,0.68,2020-12-28T00:00:00
IE,86894,2205,1.65,2020-12-28T00:00:00
SI,115327,2584,17.88,2020-12-28T00:00:00
LT,132369,1269,15.89,2020-12-28T00:00:00
GR,135931,4672,9.76,2020-12-28T00:00:00
DK,155826,1204,4.53,2020-12-28T00:00:00
SK,168092,1879,12.92,2020-12-28T00:00:00
BG,197716,7164,21.09,2020-12-28T00:00:00
HR,205246,3739,26.96,2020-12-28T00:00:00
HU,316669,9161,20.78,2020-12-28T00:00:00
AT,351386,5872,16.62,2020-12-28T00:00:00
PT,396666,6677,10.88,2020-12-28T00:00:00
SE,421449,8459,3.44,2020-12-28T00:00:00
RO,618429,15334,10.04,2020-12-28T00:00:00
BE,639636,19226,9.51,2020-12-28T00:00:00
CZ,674340,11152,14.49,2020-12-28T00:00:00
NL,769494,11028,5.75,2020-12-28T00:00:00
PL,1261010,27147,11.28,2020-12-28T00:00:00
DE,1651834,30126,9.82,2020-12-28T00:00:00
ES,1879413,50122,4.49,2020-12-28T00:00:00
IT,2047696,71925,12.27,2020-12-28T00:00:00
GB,2329730,71109,10.41,2020-12-28T00:00:00
FR,2562646,63109,7.76,2020-12-28T00:00:00
Total,17348389,427798,,2020-12-28T00:00:00
