country,cases,deaths,datetime
LI,83,1,2020-05-31T00:00:00
MT,616,7,2020-05-31T00:00:00
CY,943,17,2020-05-31T00:00:00
LV,1065,24,2020-05-31T00:00:00
SI,1473,108,2020-05-31T00:00:00
SK,1521,28,2020-05-31T00:00:00
LT,1670,70,2020-05-31T00:00:00
IS,1806,10,2020-05-31T00:00:00
EE,1865,67,2020-05-31T00:00:00
HR,2246,103,2020-05-31T00:00:00
BG,2513,140,2020-05-31T00:00:00
GR,2915,175,2020-05-31T00:00:00
HU,3867,524,2020-05-31T00:00:00
LU,4016,110,2020-05-31T00:00:00
FI,6826,316,2020-05-31T00:00:00
NO,8411,236,2020-05-31T00:00:00
CZ,9230,319,2020-05-31T00:00:00
DK,11633,571,2020-05-31T00:00:00
AT,16638,668,2020-05-31T00:00:00
RO,19133,1253,2020-05-31T00:00:00
PL,23571,1061,2020-05-31T00:00:00
IE,24929,1651,2020-05-31T00:00:00
PT,32203,1396,2020-05-31T00:00:00
SE,37113,4395,2020-05-31T00:00:00
NL,46257,5951,2020-05-31T00:00:00
BE,58186,9453,2020-05-31T00:00:00
FR,151496,28771,2020-05-31T00:00:00
DE,181482,8500,2020-05-31T00:00:00
IT,232664,33340,2020-05-31T00:00:00
ES,239228,27125,2020-05-31T00:00:00
GB,272826,38376,2020-05-31T00:00:00
Total,1398425,164766,2020-05-31T00:00:00
