country,cases,deaths,datetime
HR,100410,1304,2020-11-22T00:00:00
LI,1109,8,2020-11-22T00:00:00
Total,11921491,291401,2020-11-22T00:00:00
BG,120697,2820,2020-11-22T00:00:00
LV,12744,153,2020-11-22T00:00:00
IT,1380531,49261,2020-11-22T00:00:00
GB,1493383,54626,2020-11-22T00:00:00
ES,1556730,42619,2020-11-22T00:00:00
HU,174618,3800,2020-11-22T00:00:00
SE,208295,6406,2020-11-22T00:00:00
FI,21216,375,2020-11-22T00:00:00
FR,2127051,48518,2020-11-22T00:00:00
AT,240909,2155,2020-11-22T00:00:00
PT,255970,3824,2020-11-22T00:00:00
LU,29762,260,2020-11-22T00:00:00
NO,31438,306,2020-11-22T00:00:00
RO,412808,9916,2020-11-22T00:00:00
LT,44740,374,2020-11-22T00:00:00
NL,478678,8858,2020-11-22T00:00:00
CZ,490750,7095,2020-11-22T00:00:00
IS,5269,26,2020-11-22T00:00:00
BE,556808,15522,2020-11-22T00:00:00
SI,64284,657,2020-11-22T00:00:00
DK,69635,781,2020-11-22T00:00:00
IE,70143,2022,2020-11-22T00:00:00
PL,843475,13288,2020-11-22T00:00:00
CY,8456,43,2020-11-22T00:00:00
MT,8560,104,2020-11-22T00:00:00
GR,90121,1527,2020-11-22T00:00:00
DE,918269,14022,2020-11-22T00:00:00
EE,9375,87,2020-11-22T00:00:00
SK,95257,644,2020-11-22T00:00:00
