country,cases,deaths,datetime
RO,102386,4127,2020-09-13T00:00:00
LI,109,1,2020-09-13T00:00:00
HU,11825,633,2020-09-13T00:00:00
NO,11866,265,2020-09-13T00:00:00
GR,13036,302,2020-09-13T00:00:00
HR,13368,218,2020-09-13T00:00:00
LV,1464,35,2020-09-13T00:00:00
CY,1523,21,2020-09-13T00:00:00
BG,17891,717,2020-09-13T00:00:00
DK,19216,629,2020-09-13T00:00:00
IS,2162,10,2020-09-13T00:00:00
MT,2247,15,2020-09-13T00:00:00
Total,2573834,184026,2020-09-13T00:00:00
DE,259428,9349,2020-09-13T00:00:00
EE,2655,64,2020-09-13T00:00:00
IT,286297,35603,2020-09-13T00:00:00
IE,30730,1783,2020-09-13T00:00:00
AT,32951,754,2020-09-13T00:00:00
LT,3296,86,2020-09-13T00:00:00
CZ,35401,453,2020-09-13T00:00:00
SI,3603,131,2020-09-13T00:00:00
GB,365174,41623,2020-09-13T00:00:00
FR,373911,30910,2020-09-13T00:00:00
SK,5453,38,2020-09-13T00:00:00
ES,566326,29747,2020-09-13T00:00:00
PT,63310,1860,2020-09-13T00:00:00
LU,7159,124,2020-09-13T00:00:00
PL,73650,2182,2020-09-13T00:00:00
NL,80937,6244,2020-09-13T00:00:00
FI,8512,337,2020-09-13T00:00:00
SE,86505,5846,2020-09-13T00:00:00
BE,91443,9919,2020-09-13T00:00:00
