country,cases,deaths,datetime
CZ,100757,869,2020-10-09T00:00:00
PL,111599,2867,2020-10-09T00:00:00
FI,11345,346,2020-10-09T00:00:00
LI,136,1,2020-10-09T00:00:00
BE,143503,10126,2020-10-09T00:00:00
RO,145700,5247,2020-10-09T00:00:00
NO,15012,275,2020-10-09T00:00:00
NL,155630,6522,2020-10-09T00:00:00
SK,15726,57,2020-10-09T00:00:00
HR,18989,310,2020-10-09T00:00:00
CY,1918,24,2020-10-09T00:00:00
GR,21381,430,2020-10-09T00:00:00
BG,23259,880,2020-10-09T00:00:00
LV,2370,40,2020-10-09T00:00:00
DK,31156,665,2020-10-09T00:00:00
DE,314660,9589,2020-10-09T00:00:00
IS,3267,10,2020-10-09T00:00:00
IT,338398,36083,2020-10-09T00:00:00
MT,3506,41,2020-10-09T00:00:00
HU,35222,913,2020-10-09T00:00:00
EE,3760,67,2020-10-09T00:00:00
Total,3874181,194147,2020-10-09T00:00:00
IE,40086,1817,2020-10-09T00:00:00
AT,52603,853,2020-10-09T00:00:00
GB,561815,42592,2020-10-09T00:00:00
LT,5625,102,2020-10-09T00:00:00
FR,671638,32521,2020-10-09T00:00:00
SI,7511,141,2020-10-09T00:00:00
PT,82534,2050,2020-10-09T00:00:00
ES,848324,32688,2020-10-09T00:00:00
LU,9219,129,2020-10-09T00:00:00
SE,97532,5892,2020-10-09T00:00:00
