country,cases,deaths,deaths/100k pop.,datetime
LI,1514,18,7.8,2020-12-14T00:00:00
IS,5557,28,0.6,2020-12-14T00:00:00
MT,11254,174,8.3,2020-12-14T00:00:00
CY,15101,78,3.4,2020-12-14T00:00:00
EE,18055,149,2.8,2020-12-14T00:00:00
LV,25675,349,7.9,2020-12-14T00:00:00
FI,30810,461,1.2,2020-12-14T00:00:00
NO,41003,393,1.2,2020-12-14T00:00:00
LU,41272,396,14.7,2020-12-14T00:00:00
IE,76185,2124,1.5,2020-12-14T00:00:00
LT,95021,825,11.4,2020-12-14T00:00:00
SI,96314,1459,25.6,2020-12-14T00:00:00
DK,109758,941,1.9,2020-12-14T00:00:00
GR,124534,3625,12.2,2020-12-14T00:00:00
SK,132984,1175,6.6,2020-12-14T00:00:00
HR,175886,2640,22.8,2020-12-14T00:00:00
BG,179449,5688,26.8,2020-12-14T00:00:00
HU,283870,7130,23.6,2020-12-14T00:00:00
AT,320036,4400,16.9,2020-12-14T00:00:00
SE,341029,7667,4.3,2020-12-14T00:00:00
PT,348744,5559,11.0,2020-12-14T00:00:00
RO,556335,13385,11.3,2020-12-14T00:00:00
CZ,581079,9609,13.8,2020-12-14T00:00:00
BE,611284,18170,11.5,2020-12-14T00:00:00
NL,612746,10034,4.0,2020-12-14T00:00:00
PL,1135676,22864,15.4,2020-12-14T00:00:00
DE,1337078,21975,6.9,2020-12-14T00:00:00
ES,1751884,48013,6.3,2020-12-14T00:00:00
IT,1843712,64520,15.9,2020-12-14T00:00:00
GB,1849403,64170,8.9,2020-12-14T00:00:00
FR,2376852,57911,8.3,2020-12-14T00:00:00
Total,15130100,375930,,2020-12-14T00:00:00
