country,cases,deaths,datetime
LI,82,1,2020-04-23T00:00:00
MT,444,3,2020-04-23T00:00:00
LV,761,11,2020-04-23T00:00:00
CY,790,17,2020-04-23T00:00:00
BG,1024,49,2020-04-23T00:00:00
SK,1244,14,2020-04-23T00:00:00
SI,1353,79,2020-04-23T00:00:00
LT,1398,38,2020-04-23T00:00:00
EE,1559,44,2020-04-23T00:00:00
IS,1785,10,2020-04-23T00:00:00
HR,1950,48,2020-04-23T00:00:00
HU,2284,225,2020-04-23T00:00:00
GR,2408,121,2020-04-23T00:00:00
LU,3654,80,2020-04-23T00:00:00
FI,4129,149,2020-04-23T00:00:00
CZ,7136,210,2020-04-23T00:00:00
NO,7250,169,2020-04-23T00:00:00
DK,7912,384,2020-04-23T00:00:00
RO,9710,508,2020-04-23T00:00:00
PL,10169,426,2020-04-23T00:00:00
AT,14924,494,2020-04-23T00:00:00
SE,16004,1937,2020-04-23T00:00:00
IE,16671,769,2020-04-23T00:00:00
PT,21982,785,2020-04-23T00:00:00
NL,34842,4054,2020-04-23T00:00:00
BE,41889,6262,2020-04-23T00:00:00
FR,119151,21340,2020-04-23T00:00:00
GB,133495,18100,2020-04-23T00:00:00
DE,148046,5094,2020-04-23T00:00:00
IT,187327,25085,2020-04-23T00:00:00
ES,208389,21717,2020-04-23T00:00:00
Total,1009762,108223,2020-04-23T00:00:00
