country,cases,deaths,datetime
LI,101,1,2020-08-25T00:00:00
LV,1337,33,2020-08-25T00:00:00
CY,1460,21,2020-08-25T00:00:00
MT,1667,10,2020-08-25T00:00:00
IS,2073,10,2020-08-25T00:00:00
EE,2275,64,2020-08-25T00:00:00
SI,2665,128,2020-08-25T00:00:00
LT,2673,85,2020-08-25T00:00:00
SK,3424,33,2020-08-25T00:00:00
HU,5191,613,2020-08-25T00:00:00
LU,7794,124,2020-08-25T00:00:00
FI,7938,335,2020-08-25T00:00:00
HR,8311,173,2020-08-25T00:00:00
GR,8819,242,2020-08-25T00:00:00
NO,10323,264,2020-08-25T00:00:00
BG,15287,545,2020-08-25T00:00:00
DK,16397,623,2020-08-25T00:00:00
CZ,22181,415,2020-08-25T00:00:00
AT,25547,733,2020-08-25T00:00:00
IE,28116,1777,2020-08-25T00:00:00
PT,55720,1801,2020-08-25T00:00:00
PL,62310,1960,2020-08-25T00:00:00
NL,67062,6193,2020-08-25T00:00:00
RO,79330,3309,2020-08-25T00:00:00
BE,81998,9996,2020-08-25T00:00:00
SE,86721,5813,2020-08-25T00:00:00
DE,234853,9277,2020-08-25T00:00:00
FR,244854,30528,2020-08-25T00:00:00
IT,260298,35441,2020-08-25T00:00:00
GB,326614,41433,2020-08-25T00:00:00
ES,405436,28872,2020-08-25T00:00:00
Total,2078775,180852,2020-08-25T00:00:00
