country,cases,deaths,datetime
LI,87,1,2020-07-21T00:00:00
MT,677,9,2020-07-21T00:00:00
CY,1038,19,2020-07-21T00:00:00
LV,1192,31,2020-07-21T00:00:00
IS,1839,10,2020-07-21T00:00:00
LT,1947,80,2020-07-21T00:00:00
SI,1953,111,2020-07-21T00:00:00
SK,1980,28,2020-07-21T00:00:00
EE,2021,69,2020-07-21T00:00:00
GR,4012,195,2020-07-21T00:00:00
HU,4347,596,2020-07-21T00:00:00
HR,4370,122,2020-07-21T00:00:00
LU,5605,111,2020-07-21T00:00:00
FI,7340,328,2020-07-21T00:00:00
BG,8929,308,2020-07-21T00:00:00
NO,9028,255,2020-07-21T00:00:00
DK,13262,611,2020-07-21T00:00:00
CZ,14098,359,2020-07-21T00:00:00
AT,19679,711,2020-07-21T00:00:00
IE,25766,1753,2020-07-21T00:00:00
RO,38139,2038,2020-07-21T00:00:00
PL,40383,1627,2020-07-21T00:00:00
PT,48771,1691,2020-07-21T00:00:00
NL,51910,6136,2020-07-21T00:00:00
BE,64094,9805,2020-07-21T00:00:00
SE,78048,5639,2020-07-21T00:00:00
FR,176754,30177,2020-07-21T00:00:00
DE,202345,9090,2020-07-21T00:00:00
IT,244624,35058,2020-07-21T00:00:00
ES,264836,28422,2020-07-21T00:00:00
GB,295372,45312,2020-07-21T00:00:00
Total,1634446,180702,2020-07-21T00:00:00
