country,cases,deaths,datetime
LI,8296,73,2022-01-27T00:00:00
IS,61737,45,2022-01-27T00:00:00
MT,66705,538,2022-01-27T00:00:00
LU,147854,946,2022-01-27T00:00:00
CY,235958,712,2022-01-27T00:00:00
EE,307451,2018,2022-01-27T00:00:00
LV,354734,4828,2022-01-27T00:00:00
FI,464394,1894,2022-01-27T00:00:00
LT,639529,7815,2022-01-27T00:00:00
SI,642342,6269,2022-01-27T00:00:00
NO,665663,1439,2022-01-27T00:00:00
HR,899174,13566,2022-01-27T00:00:00
BG,913592,32939,2022-01-27T00:00:00
IE,1159271,6136,2022-01-27T00:00:00
DK,1444068,3165,2022-01-27T00:00:00
HU,1471276,41087,2022-01-27T00:00:00
SK,1489783,17725,2022-01-27T00:00:00
AT,1695349,13553,2022-01-27T00:00:00
GR,1848223,22677,2022-01-27T00:00:00
SE,1973485,15734,2022-01-27T00:00:00
RO,2083151,59726,2022-01-27T00:00:00
PT,2377818,19703,2022-01-27T00:00:00
CZ,2888827,37114,2022-01-27T00:00:00
BE,2939439,28902,2022-01-27T00:00:00
NL,4067075,21239,2022-01-27T00:00:00
PL,4637776,104373,2022-01-27T00:00:00
DE,9238931,117314,2022-01-27T00:00:00
ES,9523095,92442,2022-01-27T00:00:00
IT,10383561,144770,2022-01-27T00:00:00
FR,17730556,129747,2022-01-27T00:00:00
